PDB_ID	Oligomer_type	Experimental_method	Resolution(Å)	Chain_ID	Uniprot_ID	Covered_residues	Coverage
1JTG	hetero_dimer	X-ray diffraction	1.73	D	P35804	164	1.0
1GC1	hetero_tetramer	X-ray diffraction	2.5	G	P04578,P04578,P04578	162	0.377
1GC1	hetero_tetramer	X-ray diffraction	2.5	C	P01730	184	0.427
1GC1	hetero_tetramer	X-ray diffraction	2.5	L	Not Mapped	Not Mapped	Not Mapped
1GC1	hetero_tetramer	X-ray diffraction	2.5	H	Not Mapped	Not Mapped	Not Mapped
1MHP	hetero_trimer	X-ray diffraction	2.8	A	P18614	191	0.167
1MHP	hetero_trimer	X-ray diffraction	2.8	B	P18614	191	0.167
1MHP	hetero_trimer	X-ray diffraction	2.8	H	Not Mapped	Not Mapped	Not Mapped
1MHP	hetero_trimer	X-ray diffraction	2.8	X	Not Mapped	Not Mapped	Not Mapped
1MHP	hetero_trimer	X-ray diffraction	2.8	L	Not Mapped	Not Mapped	Not Mapped
1MHP	hetero_trimer	X-ray diffraction	2.8	Y	Not Mapped	Not Mapped	Not Mapped
1C4Z	hetero_tetramer	X-ray diffraction	2.6	A	Q05086	357	0.409
1C4Z	hetero_tetramer	X-ray diffraction	2.6	B	Q05086	357	0.409
1C4Z	hetero_tetramer	X-ray diffraction	2.6	C	Q05086	357	0.409
1C4Z	hetero_tetramer	X-ray diffraction	2.6	D	P68036	153	1.0
1OGA	hetero_pentamer	X-ray diffraction	1.4	A	P04439	274	0.806
1OGA	hetero_pentamer	X-ray diffraction	1.4	B	P61769	98	1.0
1OGA	hetero_pentamer	X-ray diffraction	1.4	C	Not Mapped	Not Mapped	Not Mapped
1OGA	hetero_pentamer	X-ray diffraction	1.4	D	P01848	91	0.657
1OGA	hetero_pentamer	X-ray diffraction	1.4	E	P01850	128	0.733
1VFB	hetero_trimer	X-ray diffraction	1.8	A	P01635	94	1.0
1VFB	hetero_trimer	X-ray diffraction	1.8	B	P01820	95	1.0
1VFB	hetero_trimer	X-ray diffraction	1.8	C	P00698	128	1.0
1EMV	hetero_dimer	X-ray diffraction	1.7	A	P13479	85	1.0
1EMV	hetero_dimer	X-ray diffraction	1.7	B	P09883	132	0.229
1BP3	hetero_dimer	X-ray diffraction	2.9	A	P01241	190	1.0
1BP3	hetero_dimer	X-ray diffraction	2.9	B	P16471	210	0.353
2JEL	hetero_trimer	X-ray diffraction	2.5	L	Not Mapped	Not Mapped	Not Mapped
2JEL	hetero_trimer	X-ray diffraction	2.5	H	Not Mapped	Not Mapped	Not Mapped
2JEL	hetero_trimer	X-ray diffraction	2.5	P	P0AA04	84	1.0
1JRH	hetero_trimer	X-ray diffraction	2.8	L	P01837	106	1.0
1JRH	hetero_trimer	X-ray diffraction	2.8	H	P01869	96	0.247
1JRH	hetero_trimer	X-ray diffraction	2.8	I	P15260	107	0.229
3NGB	hetero_trimer	X-ray diffraction	2.68	A	Q0ED31,Q0ED31,Q0ED31	161	0.403
3NGB	hetero_trimer	X-ray diffraction	2.68	D	Q0ED31,Q0ED31,Q0ED31	161	0.403
3NGB	hetero_trimer	X-ray diffraction	2.68	G	Q0ED31,Q0ED31,Q0ED31	161	0.403
3NGB	hetero_trimer	X-ray diffraction	2.68	I	Q0ED31,Q0ED31,Q0ED31	161	0.403
3NGB	hetero_trimer	X-ray diffraction	2.68	B	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	E	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	H	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	J	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	C	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	F	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	K	Not Mapped	Not Mapped	Not Mapped
3NGB	hetero_trimer	X-ray diffraction	2.68	L	Not Mapped	Not Mapped	Not Mapped
1MI5	hetero_pentamer	X-ray diffraction	2.5	A	P01889	276	0.82
1MI5	hetero_pentamer	X-ray diffraction	2.5	B	P61769	98	1.0
1MI5	hetero_pentamer	X-ray diffraction	2.5	C	Q3KST2	8	0.01
1MI5	hetero_pentamer	X-ray diffraction	2.5	D	P01848	88	0.636
1MI5	hetero_pentamer	X-ray diffraction	2.5	E	P01850	128	0.733
1LFD	hetero_dimer	X-ray diffraction	2.1	A	Q03386	86	0.097
1LFD	hetero_dimer	X-ray diffraction	2.1	C	Q03386	86	0.097
1LFD	hetero_dimer	X-ray diffraction	2.1	B	P01112	166	0.884
1LFD	hetero_dimer	X-ray diffraction	2.1	D	P01112	166	0.884
1IAR	hetero_dimer	X-ray diffraction	2.3	A	P05112	128	1.0
1IAR	hetero_dimer	X-ray diffraction	2.3	B	P24394	206	0.259
1JTD	hetero_dimer	X-ray diffraction	2.3	A	P62593	262	1.0
1JTD	hetero_dimer	X-ray diffraction	2.3	B	O87916	272	0.975
4RS1	hetero_dimer	X-ray diffraction	2.68	B	P15509	280	0.743
4RS1	hetero_dimer	X-ray diffraction	2.68	A	P04141	111	0.882
3BN9	hetero_trimer	X-ray diffraction	2.173	A	Q9Y5Y6	240	0.282
3BN9	hetero_trimer	X-ray diffraction	2.173	B	Q9Y5Y6	240	0.282
3BN9	hetero_trimer	X-ray diffraction	2.173	C	Not Mapped	Not Mapped	Not Mapped
3BN9	hetero_trimer	X-ray diffraction	2.173	E	Not Mapped	Not Mapped	Not Mapped
3BN9	hetero_trimer	X-ray diffraction	2.173	D	P01857	106	0.268
3BN9	hetero_trimer	X-ray diffraction	2.173	F	P01857	106	0.268
3C60	hetero_tetramer	X-ray diffraction	3.05	A	Not Mapped	Not Mapped	Not Mapped
3C60	hetero_tetramer	X-ray diffraction	3.05	E	Not Mapped	Not Mapped	Not Mapped
3C60	hetero_tetramer	X-ray diffraction	3.05	B	Not Mapped	Not Mapped	Not Mapped
3C60	hetero_tetramer	X-ray diffraction	3.05	F	Not Mapped	Not Mapped	Not Mapped
3C60	hetero_tetramer	X-ray diffraction	3.05	C	P14434	181	0.781
3C60	hetero_tetramer	X-ray diffraction	3.05	G	P14434	181	0.781
3C60	hetero_tetramer	X-ray diffraction	3.05	D	P14483	188	0.765
3C60	hetero_tetramer	X-ray diffraction	3.05	H	P14483	188	0.765
4NKQ	hetero_trimer	X-ray diffraction	3.301	A	P32927	413	0.47
4NKQ	hetero_trimer	X-ray diffraction	3.301	C	P04141	126	1.0
4NKQ	hetero_trimer	X-ray diffraction	3.301	B	P15509	287	0.762
1A4Y	hetero_tetramer	X-ray diffraction	2.0	A	P13489	459	0.998
1A4Y	hetero_tetramer	X-ray diffraction	2.0	D	P13489	459	0.998
1A4Y	hetero_tetramer	X-ray diffraction	2.0	B	P03950	122	1.0
1A4Y	hetero_tetramer	X-ray diffraction	2.0	E	P03950	122	1.0
1CBW	hetero_tetramer	X-ray diffraction	2.6	A	P00767	12	0.053
1CBW	hetero_tetramer	X-ray diffraction	2.6	F	P00767	12	0.053
1CBW	hetero_tetramer	X-ray diffraction	2.6	B	P00766	130	0.535
1CBW	hetero_tetramer	X-ray diffraction	2.6	G	P00766	130	0.535
1CBW	hetero_tetramer	X-ray diffraction	2.6	C	P00766	96	0.396
1CBW	hetero_tetramer	X-ray diffraction	2.6	H	P00766	96	0.396
1CBW	hetero_tetramer	X-ray diffraction	2.6	D	P00974	57	0.734
1CBW	hetero_tetramer	X-ray diffraction	2.6	I	P00974	57	0.734
2FTL	hetero_dimer	X-ray diffraction	1.62	E	P00760	222	0.974
2FTL	hetero_dimer	X-ray diffraction	1.62	I	P00974	57	0.734
1BRS	hetero_dimer	X-ray diffraction	2.0	A	P00648	109	0.894
1BRS	hetero_dimer	X-ray diffraction	2.0	B	P00648	109	0.894
1BRS	hetero_dimer	X-ray diffraction	2.0	C	P00648	109	0.894
1BRS	hetero_dimer	X-ray diffraction	2.0	D	P11540	88	0.989
1BRS	hetero_dimer	X-ray diffraction	2.0	E	P11540	88	0.989
1BRS	hetero_dimer	X-ray diffraction	2.0	F	P11540	88	0.989
2NYY	hetero_trimer	X-ray diffraction	2.61	A	P0DPI1	1294	0.999
2NYY	hetero_trimer	X-ray diffraction	2.61	C	Not Mapped	Not Mapped	Not Mapped
2NYY	hetero_trimer	X-ray diffraction	2.61	D	Not Mapped	Not Mapped	Not Mapped
4G0N	hetero_dimer	X-ray diffraction	2.45	A	P01112	165	0.878
4G0N	hetero_dimer	X-ray diffraction	2.45	B	P04049	77	0.12
2AK4	hetero_pentamer	X-ray diffraction	2.5	A	P01889	275	0.817
2AK4	hetero_pentamer	X-ray diffraction	2.5	F	P01889	275	0.817
2AK4	hetero_pentamer	X-ray diffraction	2.5	K	P01889	275	0.817
2AK4	hetero_pentamer	X-ray diffraction	2.5	Q	P01889	275	0.817
2AK4	hetero_pentamer	X-ray diffraction	2.5	B	P61769	98	1.0
2AK4	hetero_pentamer	X-ray diffraction	2.5	G	P61769	98	1.0
2AK4	hetero_pentamer	X-ray diffraction	2.5	L	P61769	98	1.0
2AK4	hetero_pentamer	X-ray diffraction	2.5	R	P61769	98	1.0
2AK4	hetero_pentamer	X-ray diffraction	2.5	C	P03206	12	0.053
2AK4	hetero_pentamer	X-ray diffraction	2.5	H	P03206	12	0.053
2AK4	hetero_pentamer	X-ray diffraction	2.5	M	P03206	12	0.053
2AK4	hetero_pentamer	X-ray diffraction	2.5	S	P03206	12	0.053
2AK4	hetero_pentamer	X-ray diffraction	2.5	D	P01848	92	0.664
2AK4	hetero_pentamer	X-ray diffraction	2.5	I	P01848	92	0.664
2AK4	hetero_pentamer	X-ray diffraction	2.5	N	P01848	92	0.664
2AK4	hetero_pentamer	X-ray diffraction	2.5	T	P01848	92	0.664
2AK4	hetero_pentamer	X-ray diffraction	2.5	E	P01850	128	0.733
2AK4	hetero_pentamer	X-ray diffraction	2.5	J	P01850	128	0.733
2AK4	hetero_pentamer	X-ray diffraction	2.5	P	P01850	128	0.733
2AK4	hetero_pentamer	X-ray diffraction	2.5	U	P01850	128	0.733
2WPT	hetero_dimer	X-ray diffraction	1.78	A	P04482	85	1.0
2WPT	hetero_dimer	X-ray diffraction	1.78	B	P09883	132	0.229
3SE8	hetero_trimer	X-ray diffraction	1.895	G	Q0ED31	352	0.412
3SE8	hetero_trimer	X-ray diffraction	1.895	H	Not Mapped	Not Mapped	Not Mapped
3SE8	hetero_trimer	X-ray diffraction	1.895	L	Not Mapped	Not Mapped	Not Mapped
1EAW	hetero_dimer	X-ray diffraction	2.93	A	Q9Y5Y6	240	0.282
1EAW	hetero_dimer	X-ray diffraction	2.93	C	Q9Y5Y6	240	0.282
1EAW	hetero_dimer	X-ray diffraction	2.93	B	P00974	57	0.734
1EAW	hetero_dimer	X-ray diffraction	2.93	D	P00974	57	0.734
1KTZ	hetero_tetramer	X-ray diffraction	2.15	A	P10600	111	0.288
1KTZ	hetero_tetramer	X-ray diffraction	2.15	B	P37173	121	0.224
2G2U	hetero_dimer	X-ray diffraction	1.6	A	P0AD64	264	1.0
2G2U	hetero_dimer	X-ray diffraction	1.6	B	P35804	164	1.0
3NPS	hetero_trimer	X-ray diffraction	1.5	A	Q9Y5Y6	240	0.282
3NPS	hetero_trimer	X-ray diffraction	1.5	B	Not Mapped	Not Mapped	Not Mapped
3NPS	hetero_trimer	X-ray diffraction	1.5	C	Not Mapped	Not Mapped	Not Mapped
3SE4	hetero_trimer	X-ray diffraction	3.5001	A	P17181	408	0.772
3SE4	hetero_trimer	X-ray diffraction	3.5001	B	P05000	173	1.0
3SE4	hetero_trimer	X-ray diffraction	3.5001	C	P48551	198	0.407
2BNR	hetero_pentamer	X-ray diffraction	1.9	A	P04439	274	0.806
2BNR	hetero_pentamer	X-ray diffraction	1.9	B	P61769	98	1.0
2BNR	hetero_pentamer	X-ray diffraction	1.9	C	P78358	8	0.05
2BNR	hetero_pentamer	X-ray diffraction	1.9	D	P01848,A0A0B4J279	91	0.989
2BNR	hetero_pentamer	X-ray diffraction	1.9	E	P01850,A0A0K0K1A5	92	1.0
4P23	hetero_tetramer	X-ray diffraction	2.25	A	Not Mapped	Not Mapped	Not Mapped
4P23	hetero_tetramer	X-ray diffraction	2.25	B	Not Mapped	Not Mapped	Not Mapped
4P23	hetero_tetramer	X-ray diffraction	2.25	C	P14434	178	0.768
4P23	hetero_tetramer	X-ray diffraction	2.25	D	P14483,P14483	188	0.697
4P5T	hetero_dimer	X-ray diffraction	3.263	A	Not Mapped	Not Mapped	Not Mapped
4P5T	hetero_dimer	X-ray diffraction	3.263	E	Not Mapped	Not Mapped	Not Mapped
4P5T	hetero_dimer	X-ray diffraction	3.263	B	Not Mapped	Not Mapped	Not Mapped
4P5T	hetero_dimer	X-ray diffraction	3.263	F	Not Mapped	Not Mapped	Not Mapped
4P5T	hetero_dimer	X-ray diffraction	3.263	C	P14434	181	0.781
4P5T	hetero_dimer	X-ray diffraction	3.263	G	P14434	181	0.781
4P5T	hetero_dimer	X-ray diffraction	3.263	D	P14483	194	0.803
4P5T	hetero_dimer	X-ray diffraction	3.263	H	P14483	194	0.803
1DVF	hetero_tetramer	X-ray diffraction	1.9	A	P01635	94	1.0
1DVF	hetero_tetramer	X-ray diffraction	1.9	B	P01820	95	1.0
1DVF	hetero_tetramer	X-ray diffraction	1.9	C	P01646	106	0.991
1DVF	hetero_tetramer	X-ray diffraction	1.9	D	A0NA69	97	0.951
3QHY	hetero_dimer	X-ray diffraction	2.06	A	Q93T42	270	0.877
3QHY	hetero_dimer	X-ray diffraction	2.06	B	O87916	270	0.968
3QIB	hetero_pentamer	X-ray diffraction	2.7	A	P04224	190	0.83
3QIB	hetero_pentamer	X-ray diffraction	2.7	B	P04230	195	0.824
3QIB	hetero_pentamer	X-ray diffraction	2.7	C	P01848	92	0.664
3QIB	hetero_pentamer	X-ray diffraction	2.7	D	Not Mapped	Not Mapped	Not Mapped
3QIB	hetero_pentamer	X-ray diffraction	2.7	P	P00039	11	0.111
3SE9	hetero_trimer	X-ray diffraction	2.0	G	Q0ED31	352	0.412
3SE9	hetero_trimer	X-ray diffraction	2.0	H	Not Mapped	Not Mapped	Not Mapped
3SE9	hetero_trimer	X-ray diffraction	2.0	L	Not Mapped	Not Mapped	Not Mapped
4PWX	hetero_hexamer	X-ray diffraction	5.4	A	Q12154	352	0.997
4PWX	hetero_hexamer	X-ray diffraction	5.4	B	Q12154	352	0.997
4PWX	hetero_hexamer	X-ray diffraction	5.4	C	Q12125	279	0.897
4PWX	hetero_hexamer	X-ray diffraction	5.4	E	Q12125	279	0.897
4PWX	hetero_hexamer	X-ray diffraction	5.4	D	Q12285	53	0.255
4PWX	hetero_hexamer	X-ray diffraction	5.4	F	Q12285	53	0.255
1DQJ	hetero_trimer	X-ray diffraction	2.0	A	P01837	106	1.0
1DQJ	hetero_trimer	X-ray diffraction	2.0	B	P01865	95	0.241
1DQJ	hetero_trimer	X-ray diffraction	2.0	C	P00698	128	1.0
3SZK	hetero_trimer	X-ray diffraction	3.01	A	P69905	140	0.993
3SZK	hetero_trimer	X-ray diffraction	3.01	D	P69905	140	0.993
3SZK	hetero_trimer	X-ray diffraction	3.01	B	P68871	145	0.993
3SZK	hetero_trimer	X-ray diffraction	3.01	E	P68871	145	0.993
3SZK	hetero_trimer	X-ray diffraction	3.01	C	Q8NW39	143	0.168
3SZK	hetero_trimer	X-ray diffraction	3.01	F	Q8NW39	143	0.168
1B41	hetero_tetramer	X-ray diffraction	2.76	A	P22303	538	0.925
1B41	hetero_tetramer	X-ray diffraction	2.76	B	P0C1Z0	60	1.0
1FSS	hetero_tetramer	X-ray diffraction	3.0	A	P04058	536	0.95
1FSS	hetero_tetramer	X-ray diffraction	3.0	B	P0C1Z0	60	1.0
1FFW	hetero_dimer	X-ray diffraction	2.7	A	P0AE67	127	0.992
1FFW	hetero_dimer	X-ray diffraction	2.7	C	P0AE67	127	0.992
1FFW	hetero_dimer	X-ray diffraction	2.7	B	P07363	133	0.205
1FFW	hetero_dimer	X-ray diffraction	2.7	D	P07363	133	0.205
1K8R	hetero_dimer	X-ray diffraction	3.0	A	P01112	165	0.878
1K8R	hetero_dimer	X-ray diffraction	3.0	B	P28829	109	0.167
2NZ9	hetero_trimer	X-ray diffraction	3.79	A	P0DPI1	1294	0.999
2NZ9	hetero_trimer	X-ray diffraction	3.79	B	P0DPI1	1294	0.999
2NZ9	hetero_trimer	X-ray diffraction	3.79	C	Not Mapped	Not Mapped	Not Mapped
2NZ9	hetero_trimer	X-ray diffraction	3.79	E	Not Mapped	Not Mapped	Not Mapped
2NZ9	hetero_trimer	X-ray diffraction	3.79	D	Not Mapped	Not Mapped	Not Mapped
2NZ9	hetero_trimer	X-ray diffraction	3.79	F	Not Mapped	Not Mapped	Not Mapped
1FC2	hetero_tetramer	X-ray diffraction	2.8	C	P38507	57	0.123
1FC2	hetero_tetramer	X-ray diffraction	2.8	D	P01857	222	0.559
1XD3	hetero_dimer	X-ray diffraction	1.45	A	P15374	229	1.0
1XD3	hetero_dimer	X-ray diffraction	1.45	C	P15374	229	1.0
1XD3	hetero_dimer	X-ray diffraction	1.45	B	P0CG48	74	0.109
1XD3	hetero_dimer	X-ray diffraction	1.45	D	P0CG48	74	0.109
3M62	hetero_dimer	X-ray diffraction	2.4	A	P54860	960	1.0
3M62	hetero_dimer	X-ray diffraction	2.4	B	P32628	83	0.211
5C6T	hetero_nonamer	X-ray diffraction	3.6	A	P13201	611	0.692
5C6T	hetero_nonamer	X-ray diffraction	3.6	H	Not Mapped	Not Mapped	Not Mapped
5C6T	hetero_nonamer	X-ray diffraction	3.6	L	Not Mapped	Not Mapped	Not Mapped
1TM1	hetero_dimer	X-ray diffraction	1.7	E	P00782	274	0.781
1TM1	hetero_dimer	X-ray diffraction	1.7	I	Q40059	63	0.762
1Z7X	hetero_tetramer	X-ray diffraction	1.95	X	P07998	127	1.0
1Z7X	hetero_tetramer	X-ray diffraction	1.95	Z	P07998	127	1.0
1Z7X	hetero_tetramer	X-ray diffraction	1.95	W	P13489	460	1.0
1Z7X	hetero_tetramer	X-ray diffraction	1.95	Y	P13489	460	1.0
3SE3	hetero_trimer	X-ray diffraction	4.0001	A	P17181	408	0.772
3SE3	hetero_trimer	X-ray diffraction	4.0001	B	P01563	164	1.0
3SE3	hetero_trimer	X-ray diffraction	4.0001	C	P48551	198	0.407
1E50	hetero_dimer	X-ray diffraction	2.6	A	Q01196	133	0.296
1E50	hetero_dimer	X-ray diffraction	2.6	C	Q01196	133	0.296
1E50	hetero_dimer	X-ray diffraction	2.6	E	Q01196	133	0.296
1E50	hetero_dimer	X-ray diffraction	2.6	G	Q01196	133	0.296
1E50	hetero_dimer	X-ray diffraction	2.6	Q	Q01196	133	0.296
1E50	hetero_dimer	X-ray diffraction	2.6	R	Q01196	133	0.296
1E50	hetero_dimer	X-ray diffraction	2.6	B	Q13951	133	0.736
1E50	hetero_dimer	X-ray diffraction	2.6	D	Q13951	133	0.736
1E50	hetero_dimer	X-ray diffraction	2.6	F	Q13951	133	0.736
1E50	hetero_dimer	X-ray diffraction	2.6	H	Q13951	133	0.736
1AK4	hetero_dimer	X-ray diffraction	2.36	A	P62937	164	1.0
1AK4	hetero_dimer	X-ray diffraction	2.36	B	P62937	164	1.0
1AK4	hetero_dimer	X-ray diffraction	2.36	C	P12497	144	0.101
1AK4	hetero_dimer	X-ray diffraction	2.36	D	P12497	144	0.101
1YY9	hetero_trimer	X-ray diffraction	2.605	A	P00533	617	0.521
1YY9	hetero_trimer	X-ray diffraction	2.605	C	Not Mapped	Not Mapped	Not Mapped
1YY9	hetero_trimer	X-ray diffraction	2.605	D	Not Mapped	Not Mapped	Not Mapped
2J0T	hetero_dimer	X-ray diffraction	2.54	A	P03956	168	0.376
2J0T	hetero_dimer	X-ray diffraction	2.54	B	P03956	168	0.376
2J0T	hetero_dimer	X-ray diffraction	2.54	C	P03956	168	0.376
2J0T	hetero_dimer	X-ray diffraction	2.54	D	P01033	125	0.685
2J0T	hetero_dimer	X-ray diffraction	2.54	E	P01033	125	0.685
2J0T	hetero_dimer	X-ray diffraction	2.54	F	P01033	125	0.685
1C1Y	hetero_dimer	X-ray diffraction	1.9	A	P62834	166	0.908
1C1Y	hetero_dimer	X-ray diffraction	1.9	B	P04049	76	0.119
3QDJ	hetero_pentamer	X-ray diffraction	2.3	A	P04439	274	0.806
3QDJ	hetero_pentamer	X-ray diffraction	2.3	B	P61769	98	1.0
3QDJ	hetero_pentamer	X-ray diffraction	2.3	C	Not Mapped	Not Mapped	Not Mapped
3QDJ	hetero_pentamer	X-ray diffraction	2.3	D	P01848	88	0.636
3QDJ	hetero_pentamer	X-ray diffraction	2.3	E	Not Mapped	Not Mapped	Not Mapped
3QDG	hetero_pentamer	X-ray diffraction	2.69	A	P04439	274	0.806
3QDG	hetero_pentamer	X-ray diffraction	2.69	B	P61769	98	1.0
3QDG	hetero_pentamer	X-ray diffraction	2.69	C	Not Mapped	Not Mapped	Not Mapped
3QDG	hetero_pentamer	X-ray diffraction	2.69	D	P01848	88	0.636
3QDG	hetero_pentamer	X-ray diffraction	2.69	E	Not Mapped	Not Mapped	Not Mapped
5M2O	hetero_dimer	X-ray diffraction	1.26	A	A0AEF4	145	0.071
5M2O	hetero_dimer	X-ray diffraction	1.26	B	Not Mapped	Not Mapped	Not Mapped
1KNE	hetero_dimer	X-ray diffraction	2.4	A	P05205	59	0.291
1KNE	hetero_dimer	X-ray diffraction	2.4	P	P02299	15	0.118
3BK3	hetero_dimer	X-ray diffraction	2.7	A	P12643	113	0.306
3BK3	hetero_dimer	X-ray diffraction	2.7	B	P12643	113	0.306
3BK3	hetero_dimer	X-ray diffraction	2.7	C	Q5D734	65	0.103
3BK3	hetero_dimer	X-ray diffraction	2.7	D	Q5D734	65	0.103
5F4E	hetero_dimer	X-ray diffraction	2.4	A	Q8IYV9	232	0.708
5F4E	hetero_dimer	X-ray diffraction	2.4	B	A6ND01	208	0.905
1F47	hetero_dimer	X-ray diffraction	1.95	B	P77173	143	0.439
1F47	hetero_dimer	X-ray diffraction	1.95	A	P0A9A6	16	0.044
1GUA	hetero_dimer	X-ray diffraction	2.0	A	P62834	166	0.908
1GUA	hetero_dimer	X-ray diffraction	2.0	B	P04049	80	0.125
1N8Z	hetero_trimer	X-ray diffraction	2.52	A	Not Mapped	Not Mapped	Not Mapped
1N8Z	hetero_trimer	X-ray diffraction	2.52	B	Not Mapped	Not Mapped	Not Mapped
1N8Z	hetero_trimer	X-ray diffraction	2.52	C	P04626	606	0.492
2BDN	hetero_hexamer	X-ray diffraction	2.53	A	P13500	75	1.0
2BDN	hetero_hexamer	X-ray diffraction	2.53	L	Not Mapped	Not Mapped	Not Mapped
2BDN	hetero_hexamer	X-ray diffraction	2.53	H	Not Mapped	Not Mapped	Not Mapped
4I77	hetero_trimer	X-ray diffraction	1.9	H	Not Mapped	Not Mapped	Not Mapped
4I77	hetero_trimer	X-ray diffraction	1.9	L	Not Mapped	Not Mapped	Not Mapped
4I77	hetero_trimer	X-ray diffraction	1.9	Z	P35225	111	0.918
4OZG	hetero_pentamer	X-ray diffraction	3.0	A	P01909	182	0.792
4OZG	hetero_pentamer	X-ray diffraction	3.0	C	P01909	182	0.792
4OZG	hetero_pentamer	X-ray diffraction	3.0	B	P01920	191	0.838
4OZG	hetero_pentamer	X-ray diffraction	3.0	D	P01920	191	0.838
4OZG	hetero_pentamer	X-ray diffraction	3.0	E	Q2YD82	193	0.805
4OZG	hetero_pentamer	X-ray diffraction	3.0	G	Q2YD82	193	0.805
4OZG	hetero_pentamer	X-ray diffraction	3.0	F	P01850	128	0.733
4OZG	hetero_pentamer	X-ray diffraction	3.0	H	P01850	128	0.733
4OZG	hetero_pentamer	X-ray diffraction	3.0	I	P04722	9	0.037
4OZG	hetero_pentamer	X-ray diffraction	3.0	J	P04722	9	0.037
1MLC	hetero_trimer	X-ray diffraction	2.5	A	P01837	106	1.0
1MLC	hetero_trimer	X-ray diffraction	2.5	C	P01837	106	1.0
1MLC	hetero_trimer	X-ray diffraction	2.5	B	P01868	101	0.315
1MLC	hetero_trimer	X-ray diffraction	2.5	D	P01868	101	0.315
1MLC	hetero_trimer	X-ray diffraction	2.5	E	P00698	128	1.0
1MLC	hetero_trimer	X-ray diffraction	2.5	F	P00698	128	1.0
3EQY	hetero_dimer	X-ray diffraction	1.63	A	O15151	84	0.173
3EQY	hetero_dimer	X-ray diffraction	1.63	B	O15151	84	0.173
3EQY	hetero_dimer	X-ray diffraction	1.63	C	Not Mapped	Not Mapped	Not Mapped
3EQY	hetero_dimer	X-ray diffraction	1.63	D	Not Mapped	Not Mapped	Not Mapped
3M63	hetero_dimer	X-ray diffraction	2.4	A	P54860	960	1.0
3M63	hetero_dimer	X-ray diffraction	2.4	B	P48510	74	0.201
