From	Entry	Entry Name
4B0M	P26948	CAF1_YERPE
4B0M	P26949	CAF1A_YERPE
4CPA	P01075	MCPI_SOLTU
4CPA	P00730	CBPA1_BOVIN
1FCC	P19909	SPG2_STRSG
1FCC	P01857	IGHG1_HUMAN
5E9D	A0A075B6T6	TVAL2_HUMAN
5E9D	P04439	HLAA_HUMAN
5E9D	P61769	B2MG_HUMAN
5E9D	Q16655	MAR1_HUMAN
4JPK	P04578	ENV_HV1H2
5TAR	O43924	PDE6D_HUMAN
5TAR	P01116	RASK_HUMAN
1NMB	P05803	NRAM_I84A1
5E6P	B2RXS4	PLXB2_MOUSE
5E6P	O15085	ARHGB_HUMAN
2O3B	P38446	NUCA_NOSS1
4L3E	P04439	HLAA_HUMAN
4L3E	P61769	B2MG_HUMAN
4L3E	Q16655	MAR1_HUMAN
2AJF	P59594	SPIKE_SARS
2AJF	Q9BYF1	ACE2_HUMAN
2B0U	P08476	INHBA_HUMAN
2B0U	P19883	FST_HUMAN
1GCQ	P27870	VAV_MOUSE
1GCQ	P62993	GRB2_HUMAN
3SEK	O08689	GDF8_MOUSE
3SEK	O95633	FSTL3_HUMAN
3F1S	P22891	PROZ_HUMAN
3F1S	Q9UK55	ZPI_HUMAN
3HH2	O08689	GDF8_MOUSE
3HH2	P19883	FST_HUMAN
3B4V	O95633	FSTL3_HUMAN
3B4V	P08476	INHBA_HUMAN
3BX1	P29600	SUBS_LEDLE
3BX1	P07596	IAAS_HORVU
4L0P	P29320	EPHA3_HUMAN
4L0P	P52803	EFNA5_HUMAN
1E96	P19878	NCF2_HUMAN
1E96	P63000	RAC1_HUMAN
1ACB	P01051	ICIC_HIRME
1ACB	P00766	CTRA_BOVIN
4K71	P02768	ALBU_HUMAN
4K71	P55899	FCGRN_HUMAN
4K71	P61769	B2MG_HUMAN
4FTV	P0C213	TAX_HTL1F
4FTV	P04439	HLAA_HUMAN
4FTV	P61769	B2MG_HUMAN
4JFF	P01848	TRAC_HUMAN
4JFF	P01850	TRBC1_HUMAN
4JFF	P04439	HLAA_HUMAN
4JFF	P61769	B2MG_HUMAN
4JFF	Q16655	MAR1_HUMAN
4X4M	P01857	IGHG1_HUMAN
4X4M	P12314	FCGR1_HUMAN
4JEU	P32851	STX1A_RAT
4JEU	P61765	STXB1_RAT
3VR6	P43435	NTPD_ENTHA
3VR6	P43455	NTPG_ENTHA
3VR6	Q08636	NTPA_ENTHA
3VR6	Q08637	NTPB_ENTHA
1H9D	Q01196	RUNX1_HUMAN
1H9D	Q13951	PEBB_HUMAN
1CSE	P00780	SUBC_BACLI
1CSE	P01051	ICIC_HIRME
4YFD	Q61730	IL1AP_MOUSE
4YFD	Q64487	PTPRD_MOUSE
3KBH	Q6Q1S2	SPIKE_CVHNL
3KBH	Q9BYF1	ACE2_HUMAN
2PCC	P00044	CYC1_YEAST
2PCC	P00431	CCPR_YEAST
2PCB	P00431	CCPR_YEAST
2PCB	P00004	CYC_HORSE
1S1Q	P0CG48	UBC_HUMAN
1S1Q	Q99816	TS101_HUMAN
3SF4	P81274	GPSM2_HUMAN
3SF4	Q1MX18	INSC_HUMAN
3UIG	O15392	BIRC5_HUMAN
3UIG	P68431	H31_HUMAN
4J2L	P54253	ATX1_HUMAN
4J2L	Q96RK0	CIC_HUMAN
3R9A	P21549	AGT1_HUMAN
3R9A	P50542	PEX5_HUMAN
2KSO	O15357	SHIP2_HUMAN
2KSO	P29317	EPHA2_HUMAN
1SMF	P01062	IBB_VIGRR
1SMF	P00760	TRY1_BOVIN
1UUZ	Q9HXB1	IVY_PSEAE
1UUZ	P00698	LYSC_CHICK
5K39	Q06853	SLAP2_ACET2
2DVW	Q9Z2X2	PSD10_MOUSE
2DVW	P43686	PRS6B_HUMAN
5CXB	G0SCK6	ERB1_CHATD
5CXB	G0SFB5	YTM1_CHATD
4YH7	P59823	IRPL1_MOUSE
4YH7	Q64487	PTPRD_MOUSE
5UFE	P01116	RASK_HUMAN
2DSQ	P05019	IGF1_HUMAN
2DSQ	P08833	IBP1_HUMAN
2DSQ	P22692	IBP4_HUMAN
4N8V	Q76ZQ3	PG140_VACCW
4N8V	P04439	HLAA_HUMAN
4N8V	P43631	KI2S2_HUMAN
4N8V	P61769	B2MG_HUMAN
4O27	Q9Y376	CAB39_HUMAN
4O27	Q9Y6E0	STK24_HUMAN
2BTF	P02584	PROF1_BOVIN
2BTF	P60712	ACTB_BOVIN
2C5D	P30530	UFO_HUMAN
2C5D	Q14393	GAS6_HUMAN
1XGP	P01837	IGKC_MOUSE
1XGP	P00698	LYSC_CHICK
3D3V	P01850	TRBC1_HUMAN
3D3V	P04439	HLAA_HUMAN
3D3V	P61769	B2MG_HUMAN
1XGU	P01837	IGKC_MOUSE
1XGU	P00698	LYSC_CHICK
1XGT	P00698	LYSC_CHICK
1XGR	P00698	LYSC_CHICK
1XGQ	P01837	IGKC_MOUSE
1XGQ	P00698	LYSC_CHICK
3LB6	P35225	IL13_HUMAN
3LB6	Q14627	I13R2_HUMAN
1WQJ	P05019	IGF1_HUMAN
1WQJ	P22692	IBP4_HUMAN
3W2D	P01552	ETXB_STAAU
4HRN	P04626	ERBB2_HUMAN
4FZA	Q9P289	STK26_HUMAN
4FZA	Q9Y376	CAB39_HUMAN
1NCA	P01865	GCAM_MOUSE
1NCA	P03472	NRAM_I75A5
4HSA	Q16552	IL17_HUMAN
4HSA	Q96F46	I17RA_HUMAN
4YEB	Q80TS3	AGRL3_MOUSE
4YEB	Q8BGT1	FLRT3_MOUSE
2OOB	Q13191	CBLB_HUMAN
2OOB	P0CH28	UBC_BOVIN
2AW2	Q7Z6A9	BTLA_HUMAN
2AW2	Q92956	TNR14_HUMAN
4GNK	P21279	GNAQ_MOUSE
4GNK	Q01970	PLCB3_HUMAN
3WWN	O50147	LYSZ_THET2
1N8O	P23827	ECOT_ECOLI
1N8O	P00766	CTRA_BOVIN
1KBH	P45481	CBP_MOUSE
1KBH	Q9Y6Q9	NCOA3_HUMAN
1LP9	P01849	TRAC_MOUSE
1LP9	P04213	TVB5_MOUSE
1LP9	P04439	HLAA_HUMAN
1LP9	P61769	B2MG_HUMAN
1LP9	Q9NPA0	EMC7_HUMAN
1SBB	P01852	TCB1_MOUSE
1SBB	P01552	ETXB_STAAU
3MZW	P38507	SPA_STAAU
3MZW	P04626	ERBB2_HUMAN
3KUD	P01112	RASH_HUMAN
3KUD	P04049	RAF1_HUMAN
2B2X	P01868	IGHG1_MOUSE
2B2X	P18614	ITA1_RAT
4NZW	O00506	STK25_HUMAN
4NZW	Q9Y376	CAB39_HUMAN
2HRK	P46655	SYEC_YEAST
2HRK	P46672	ARC1_YEAST
2J1K	Q65914	SPIKE_ADECT
2J1K	P78310	CXAR_HUMAN
2C0L	P22307	SCP2_HUMAN
2C0L	P50542	PEX5_HUMAN
2B42	P18429	XYNA_BACSU
5UFQ	P01116	RASK_HUMAN
4E6K	Q9HY79	BFRB_PSEAE
4E6K	Q9HY80	BFD_PSEAE
2GOX	P68799	FIB_STAAM
2GOX	P01024	CO3_HUMAN
5CYK	G0SCK6	ERB1_CHATD
5CYK	G0SFB5	YTM1_CHATD
1B2U	P00648	RNBR_BACAM
1B2U	P11540	BARS_BACAM
1B2S	P00648	RNBR_BACAM
1B2S	P11540	BARS_BACAM
1B3S	P00648	RNBR_BACAM
1B3S	P11540	BARS_BACAM
4GXU	Q9WFX3	HEMA_I18A0
4G2V	Q8VDU0	GPSM2_MOUSE
4G2V	Q5SYB0	FRPD1_HUMAN
4RA0	P30530	UFO_HUMAN
4RA0	Q14393	GAS6_HUMAN
1FY8	P00763	TRY2_RAT
1FY8	P00974	BPT1_BOVIN
4Y61	Q64487	PTPRD_MOUSE
4Y61	Q810C0	SLIK2_MOUSE
4WND	P81274	GPSM2_HUMAN
4WND	Q14CM0	FRPD4_HUMAN
4U6H	P07612	PG095_VACCW
4KRO	P00533	EGFR_HUMAN
4KRL	P00533	EGFR_HUMAN
4MNQ	O14746	TERT_HUMAN
4MNQ	P01850	TRBC1_HUMAN
4MNQ	P04439	HLAA_HUMAN
4MNQ	P61769	B2MG_HUMAN
1KAC	P36711	SPIKE_ADE12
1KAC	P78310	CXAR_HUMAN
3LZF	Q9WFX3	HEMA_I18A0
3G6D	P35225	IL13_HUMAN
2VIR	P03437	HEMA_I68A0
3BP8	P50456	MLC_ECOLI
3BP8	P69786	PTGCB_ECOLI
3NVN	Q8JL80	SEMA_ECTVM
3NVN	O60486	PLXC1_HUMAN
1U7F	P84022	SMAD3_HUMAN
1U7F	Q13485	SMAD4_HUMAN
3NVQ	O60486	PLXC1_HUMAN
3NVQ	O75326	SEM7A_HUMAN
2A9K	P15879	ARC3_CBDP
2A9K	P11233	RALA_HUMAN
1EFN	P03406	NEF_HV1BR
1EFN	P06241	FYN_HUMAN
2HLE	P52799	EFNB2_HUMAN
2HLE	P54760	EPHB4_HUMAN
2REX	O43157	PLXB1_HUMAN
2REX	Q92730	RND1_HUMAN
2I26	P00698	LYSC_CHICK
2E7L	P01897	HA1L_MOUSE
2G2W	P35804	BLIP_STRCL
2G2W	P0AD64	BLA1_KLEPN
2J12	P78310	CXAR_HUMAN
2GYK	P09883	CEA9_ECOLX
2GYK	P13479	IMM9_ECOLX
2J8U	P01849	TRAC_MOUSE
2J8U	P04213	TVB5_MOUSE
2J8U	P04439	HLAA_HUMAN
2J8U	P61769	B2MG_HUMAN
2J8U	Q9NPA0	EMC7_HUMAN
2B0Z	P00044	CYC1_YEAST
2B0Z	P00431	CCPR_YEAST
2B10	P00044	CYC1_YEAST
2B10	P00431	CCPR_YEAST
2B11	P00044	CYC1_YEAST
2B11	P00431	CCPR_YEAST
2B12	P00044	CYC1_YEAST
2B12	P00431	CCPR_YEAST
2UWE	P04213	TVB5_MOUSE
2UWE	P04439	HLAA_HUMAN
2UWE	P61769	B2MG_HUMAN
2UWE	Q9NPA0	EMC7_HUMAN
2SGQ	P00777	PRTB_STRGR
2SGQ	P68390	IOVO_MELGA
2SGP	P00777	PRTB_STRGR
2SGP	P68390	IOVO_MELGA
2P5E	P01848	TRAC_HUMAN
2P5E	P01850	TRBC1_HUMAN
2P5E	P04439	HLAA_HUMAN
2P5E	P61769	B2MG_HUMAN
2P5E	P78358	CTG1B_HUMAN
2NU4	P00777	PRTB_STRGR
2NU4	P68436	IOVO_MELOE
2OI9	P01738	TVA1_MOUSE
2OI9	P01897	HA1L_MOUSE
2NU1	P00777	PRTB_STRGR
2NU1	P68436	IOVO_MELOE
2NU2	P00777	PRTB_STRGR
2NU2	P68436	IOVO_MELOE
2NU0	P00777	PRTB_STRGR
2NU0	P68436	IOVO_MELOE
2BNQ	A0A0B4J279	TVA21_HUMAN
2BNQ	A0A0K0K1A5	TVB65_HUMAN
2BNQ	P01848	TRAC_HUMAN
2BNQ	P01850	TRBC1_HUMAN
2BNQ	P04439	HLAA_HUMAN
2BNQ	P61769	B2MG_HUMAN
2BNQ	P78358	CTG1B_HUMAN
2JCC	P01849	TRAC_MOUSE
2JCC	P04439	HLAA_HUMAN
2JCC	P61769	B2MG_HUMAN
2JCC	Q9NPA0	EMC7_HUMAN
1Y3C	P00782	SUBT_BACAM
1Y34	P00782	SUBT_BACAM
1Y33	P00782	SUBT_BACAM
1Y1K	P00782	SUBT_BACAM
1Y3B	P00782	SUBT_BACAM
1Y48	P00782	SUBT_BACAM
1Y3D	P00782	SUBT_BACAM
3BTT	P00760	TRY1_BOVIN
3BTT	P00974	BPT1_BOVIN
3BTH	P00760	TRY1_BOVIN
3BTH	P00974	BPT1_BOVIN
3BTG	P00760	TRY1_BOVIN
3BTG	P00974	BPT1_BOVIN
3BTQ	P00760	TRY1_BOVIN
3BTQ	P00974	BPT1_BOVIN
3BTM	P00760	TRY1_BOVIN
3BTM	P00974	BPT1_BOVIN
2VLN	P09883	CEA9_ECOLX
2VLN	P13479	IMM9_ECOLX
3BTD	P00760	TRY1_BOVIN
3BTD	P00974	BPT1_BOVIN
3BTE	P00760	TRY1_BOVIN
3BTE	P00974	BPT1_BOVIN
3BTF	P00760	TRY1_BOVIN
3BTF	P00974	BPT1_BOVIN
2VIS	P03437	HEMA_I68A0
2VLO	P09883	CEA9_ECOLX
2VLO	P13479	IMM9_ECOLX
2VLP	P09883	CEA9_ECOLX
2VLP	P13479	IMM9_ECOLX
2VLQ	P09883	CEA9_ECOLX
2VLQ	P13479	IMM9_ECOLX
2VLR	P03485	M1_I34A1
2VLR	P01848	TRAC_HUMAN
2VLR	P01850	TRBC1_HUMAN
2VLR	P04439	HLAA_HUMAN
2VLR	P0DSE1	TRAR1_HUMAN
2VLR	P0DSE2	TRBR1_HUMAN
2VLR	P61769	B2MG_HUMAN
3QFJ	P04439	HLAA_HUMAN
3QFJ	P61769	B2MG_HUMAN
3Q3J	O75051	PLXA2_HUMAN
3Q3J	Q92730	RND1_HUMAN
3PWP	P01848	TRAC_HUMAN
3PWP	P04439	HLAA_HUMAN
3PWP	P61769	B2MG_HUMAN
3NCC	P01236	PRL_HUMAN
3NCC	P16471	PRLR_HUMAN
3N4I	P35804	BLIP_STRCL
3N4I	P0AD64	BLA1_KLEPN
3NCB	P01236	PRL_HUMAN
3NCB	P16471	PRLR_HUMAN
3N06	P01236	PRL_HUMAN
3N06	P16471	PRLR_HUMAN
3N0P	P01236	PRL_HUMAN
3N0P	P16471	PRLR_HUMAN
1TO1	P00782	SUBT_BACAM
1X1W	P00648	RNBR_BACAM
1X1W	P11540	BARS_BACAM
1X1X	P00648	RNBR_BACAM
1X1X	P11540	BARS_BACAM
1TM3	P00782	SUBT_BACAM
1TM4	P00782	SUBT_BACAM
1TM5	P00782	SUBT_BACAM
1TM7	P00782	SUBT_BACAM
1TMG	P00782	SUBT_BACAM
1YQV	P00698	LYSC_CHICK
1YCS	P04637	P53_HUMAN
1YCS	Q13625	ASPP2_HUMAN
3H9S	P38110	ATM_YEAST
3H9S	P04439	HLAA_HUMAN
3H9S	P61769	B2MG_HUMAN
3L5X	P35225	IL13_HUMAN
3LNZ	Q00987	MDM2_HUMAN
3D5S	A6QG59	FIB_STAAE
3D5S	P01024	CO3_HUMAN
3BTW	P00760	TRY1_BOVIN
3BTW	P00974	BPT1_BOVIN
3D5R	A6QG59	FIB_STAAE
3D5R	P01024	CO3_HUMAN
3EG5	O08808	DIAP1_MOUSE
3EG5	P60766	CDC42_MOUSE
1P6A	P36711	SPIKE_ADE12
1P6A	P78310	CXAR_HUMAN
1REW	P12643	BMP2_HUMAN
1REW	P36894	BMR1A_HUMAN
1CSO	P00777	PRTB_STRGR
1CSO	P68390	IOVO_MELGA
1CT4	P00777	PRTB_STRGR
1CT4	P68390	IOVO_MELGA
1QSE	P04439	HLAA_HUMAN
1QSE	P61769	B2MG_HUMAN
1CT0	P00777	PRTB_STRGR
1CT0	P68390	IOVO_MELGA
3RF3	P18010	IPAA_SHIFL
3RF3	P18206	VINC_HUMAN
1M9E	P62937	PPIA_HUMAN
1KIR	P01820	HVM44_MOUSE
1KIR	P00698	LYSC_CHICK
1KIP	P01635	KV5A3_MOUSE
1KIP	P00698	LYSC_CHICK
1KIQ	P01635	KV5A3_MOUSE
1KIQ	P00698	LYSC_CHICK
1SIB	P00782	SUBT_BACAM
1SIB	P01051	ICIC_HIRME
3TGK	P00763	TRY2_RAT
3TGK	P00974	BPT1_BOVIN
3U82	Q69091	GD_HHV11
3U82	Q15223	NECT1_HUMAN
3UII	O15392	BIRC5_HUMAN
3UII	P68431	H31_HUMAN
1SGQ	P00777	PRTB_STRGR
1SGQ	P68390	IOVO_MELGA
1SGY	P00777	PRTB_STRGR
1SGY	P68390	IOVO_MELGA
1SGP	P00777	PRTB_STRGR
1SGP	P68390	IOVO_MELGA
1S0W	P35804	BLIP_STRCL
1S0W	P62593	BLAT_ECOLX
1SBN	P00782	SUBT_BACAM
1SBN	P01051	ICIC_HIRME
1SGD	P00777	PRTB_STRGR
1SGD	P68390	IOVO_MELGA
1SGE	P00777	PRTB_STRGR
1SGE	P68390	IOVO_MELGA
1SGN	P00777	PRTB_STRGR
1SGN	P68390	IOVO_MELGA
1CT2	P00777	PRTB_STRGR
1CT2	P68390	IOVO_MELGA
1P69	P36711	SPIKE_ADE12
1P69	P78310	CXAR_HUMAN
1CZ8	P15692	VEGFA_HUMAN
4EKD	P21279	GNAQ_MOUSE
4EKD	P41220	RGS2_HUMAN
1GRN	P60953	CDC42_HUMAN
1GRN	Q07960	RHG01_HUMAN
1GL1	P80060	LCM_LOCMI
1GL1	P00766	CTRA_BOVIN
1GL0	P80060	LCM_LOCMI
1GL0	P00766	CTRA_BOVIN
1HE8	P01112	RASH_HUMAN
1HE8	P48736	PK3CG_HUMAN
4JFD	P01848	TRAC_HUMAN
4JFD	P01850	TRBC1_HUMAN
4JFD	P04439	HLAA_HUMAN
4JFD	P61769	B2MG_HUMAN
1FR2	P09883	CEA9_ECOLX
1FR2	P13479	IMM9_ECOLX
1F5R	P00763	TRY2_RAT
1F5R	P00974	BPT1_BOVIN
4JGH	P62869	ELOB_MOUSE
4JGH	P83940	ELOC_MOUSE
4JGH	O14508	SOCS2_HUMAN
4JGH	Q93034	CUL5_HUMAN
4JFE	P01848	TRAC_HUMAN
4JFE	P01850	TRBC1_HUMAN
4JFE	P04439	HLAA_HUMAN
4JFE	P61769	B2MG_HUMAN
4KRP	P00533	EGFR_HUMAN
4LRX	P76015	DHAK_ECOLI
4LRX	P76016	DHAR_ECOLI
4MYW	P03172	GD_HHV23
4MYW	Q15223	NECT1_HUMAN
