	PDB	Chain ID	Molecule Type	Unnamed: 0	Uniprot ID	Chain	Covered Residues	Declared_Coverage	Length	Coverage	Resolution (Å)	Chain PDB ID
79	3NGB	I	polypeptide(L)	69.0	Q0ED31	I	79.0	0.403	857.0	0.0921820303383897	2.68	3NGB_I
80	3NGB	I	polypeptide(L)	70.0	Q0ED31	I	102.0	0.403	857.0	0.1190198366394399	2.68	3NGB_I
81	3NGB	I	polypeptide(L)	71.0	Q0ED31	I	161.0	0.403	857.0	0.1878646441073512	2.68	3NGB_I
82	3NGB	B	polypeptide(L)									3NGB_B
83	3NGB	E	polypeptide(L)									3NGB_E
84	3NGB	H	polypeptide(L)									3NGB_H
85	3NGB	J	polypeptide(L)									3NGB_J
86	3NGB	C	polypeptide(L)									3NGB_C
87	3NGB	F	polypeptide(L)									3NGB_F
88	3NGB	K	polypeptide(L)									3NGB_K
89	3NGB	L	polypeptide(L)									3NGB_L
90	1MI5	A	polypeptide(L)	72.0	P01889	A	276.0	0.82	362.0	0.7624309392265194	2.5	1MI5_A
91	1MI5	B	polypeptide(L)	73.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.5	1MI5_B
92	1MI5	C	polypeptide(L)	74.0	Q3KST2	C	8.0	0.01	935.0	0.0085561497326203	2.5	1MI5_C
93	1MI5	D	polypeptide(L)	75.0	P01848	D	88.0	0.636	140.0	0.6285714285714286	2.5	1MI5_D
94	1MI5	E	polypeptide(L)	76.0	P01850	E	128.0	0.733	176.0	0.7272727272727273	2.5	1MI5_E
95	1LFD	A	polypeptide(L)	77.0	Q03386	A	86.0	0.097	895.0	0.0960893854748603	2.1	1LFD_A
96	1LFD	C	polypeptide(L)	78.0	Q03386	C	86.0	0.097	895.0	0.0960893854748603	2.1	1LFD_C
97	1LFD	B	polypeptide(L)	79.0	P01112	B	166.0	0.884	189.0	0.8783068783068783	2.1	1LFD_B
98	1LFD	D	polypeptide(L)	80.0	P01112	D	166.0	0.884	189.0	0.8783068783068783	2.1	1LFD_D
99	4RS1	B	polypeptide(L)	82.0	P15509	B	280.0	0.743	400.0	0.7	2.68	4RS1_B
100	4RS1	A	polypeptide(L)	81.0	P04141	A	111.0	0.882	144.0	0.7708333333333334	2.68	4RS1_A
101	1IAR	A	polypeptide(L)	83.0	P05112	A	128.0	1.0	153.0	0.8366013071895425	2.3	1IAR_A
102	1IAR	B	polypeptide(L)	84.0	P24394	B	206.0	0.259	825.0	0.2496969696969697	2.3	1IAR_B
103	1JTD	A	polypeptide(L)	85.0	P62593	A	262.0	1.0	286.0	0.916083916083916	2.3	1JTD_A
104	1JTD	B	polypeptide(L)	86.0	O87916	B	272.0	0.975	311.0	0.8745980707395499	2.3	1JTD_B
105	3C60	A	polypeptide(L)									3C60_A
106	3C60	E	polypeptide(L)									3C60_E
107	3C60	B	polypeptide(L)									3C60_B
108	3C60	F	polypeptide(L)									3C60_F
109	3C60	C	polypeptide(L)	87.0	P14434	C	181.0	0.781	256.0	0.70703125	3.05	3C60_C
110	3C60	G	polypeptide(L)	88.0	P14434	G	181.0	0.781	256.0	0.70703125	3.05	3C60_G
111	3C60	D	polypeptide(L)	89.0	P14483	D	197.0	0.765	265.0	0.7433962264150943	3.05	3C60_D
112	3C60	H	polypeptide(L)	90.0	P14483	H	197.0	0.765	265.0	0.7433962264150943	3.05	3C60_H
113	3BN9	A	polypeptide(L)	91.0	Q9Y5Y6	A	240.0	0.282	855.0	0.2807017543859649	2.173	3BN9_A
114	3BN9	B	polypeptide(L)	92.0	Q9Y5Y6	B	240.0	0.282	855.0	0.2807017543859649	2.173	3BN9_B
115	3BN9	C	polypeptide(L)									3BN9_C
116	3BN9	E	polypeptide(L)									3BN9_E
117	3BN9	D	polypeptide(L)	93.0	P01857	D	106.0	0.268	399.0	0.2656641604010025	2.173	3BN9_D
118	3BN9	F	polypeptide(L)	94.0	P01857	F	106.0	0.268	399.0	0.2656641604010025	2.173	3BN9_F
119	4NKQ	A	polypeptide(L)	95.0	P32927	A	413.0	0.47	897.0	0.4604236343366778	3.301	4NKQ_A
120	4NKQ	C	polypeptide(L)	97.0	P04141	C	126.0	1.0	144.0	0.875	3.301	4NKQ_C
121	4NKQ	B	polypeptide(L)	96.0	P15509	B	287.0	0.762	400.0	0.7175	3.301	4NKQ_B
122	1A4Y	A	polypeptide(L)	98.0	P13489	A	459.0	0.998	461.0	0.9956616052060736	2.0	1A4Y_A
123	1A4Y	D	polypeptide(L)	99.0	P13489	D	459.0	0.998	461.0	0.9956616052060736	2.0	1A4Y_D
124	1A4Y	B	polypeptide(L)	100.0	P03950	B	122.0	1.0	147.0	0.8299319727891157	2.0	1A4Y_B
125	1A4Y	E	polypeptide(L)	101.0	P03950	E	122.0	1.0	147.0	0.8299319727891157	2.0	1A4Y_E
126	1CBW	A	polypeptide(L)	102.0	P00767	A	12.0	0.053	245.0	0.0489795918367346	2.6	1CBW_A
127	1CBW	F	polypeptide(L)	103.0	P00767	F	12.0	0.053	245.0	0.0489795918367346	2.6	1CBW_F
128	1CBW	B	polypeptide(L)	104.0	P00766	B	130.0	0.535	245.0	0.5306122448979592	2.6	1CBW_B
129	1CBW	G	polypeptide(L)	106.0	P00766	G	130.0	0.535	245.0	0.5306122448979592	2.6	1CBW_G
130	1CBW	C	polypeptide(L)	105.0	P00766	C	96.0	0.396	245.0	0.3918367346938775	2.6	1CBW_C
131	1CBW	H	polypeptide(L)	107.0	P00766	H	96.0	0.396	245.0	0.3918367346938775	2.6	1CBW_H
132	1CBW	D	polypeptide(L)	108.0	P00974	D	57.0	0.734	100.0	0.57	2.6	1CBW_D
133	1CBW	I	polypeptide(L)	109.0	P00974	I	57.0	0.734	100.0	0.57	2.6	1CBW_I
134	2FTL	E	polypeptide(L)	110.0	P00760	E	222.0	0.974	246.0	0.902439024390244	1.62	2FTL_E
135	2FTL	I	polypeptide(L)	111.0	P00974	I	57.0	0.734	100.0	0.57	1.62	2FTL_I
136	4G0N	A	polypeptide(L)	112.0	P01112	A	165.0	0.878	189.0	0.873015873015873	2.45	4G0N_A
137	4G0N	B	polypeptide(L)	113.0	P04049	B	77.0	0.12	648.0	0.1188271604938271	2.45	4G0N_B
138	2NYY	A	polypeptide(L)	114.0	P0DPI1	A	1294.0	0.999	1296.0	0.9984567901234568	2.61	2NYY_A
139	2NYY	C	polypeptide(L)									2NYY_C
140	2NYY	D	polypeptide(L)									2NYY_D
141	1BRS	A	polypeptide(L)	115.0	P00648	A	109.0	0.894	157.0	0.6942675159235668	2.0	1BRS_A
142	1BRS	B	polypeptide(L)	116.0	P00648	B	109.0	0.894	157.0	0.6942675159235668	2.0	1BRS_B
143	1BRS	C	polypeptide(L)	117.0	P00648	C	109.0	0.894	157.0	0.6942675159235668	2.0	1BRS_C
144	1BRS	D	polypeptide(L)	118.0	P11540	D	88.0	0.989	90.0	0.9777777777777776	2.0	1BRS_D
145	1BRS	E	polypeptide(L)	119.0	P11540	E	88.0	0.989	90.0	0.9777777777777776	2.0	1BRS_E
146	1BRS	F	polypeptide(L)	120.0	P11540	F	88.0	0.989	90.0	0.9777777777777776	2.0	1BRS_F
147	2WPT	A	polypeptide(L)	121.0	P04482	A	85.0	1.0	86.0	0.9883720930232558	1.78	2WPT_A
148	2WPT	B	polypeptide(L)	122.0	P09883	B	132.0	0.229	582.0	0.2268041237113402	1.78	2WPT_B
149	2AK4	A	polypeptide(L)	123.0	P01889	A	275.0	0.817	362.0	0.7596685082872928	2.5	2AK4_A
150	2AK4	F	polypeptide(L)	124.0	P01889	F	275.0	0.817	362.0	0.7596685082872928	2.5	2AK4_F
151	2AK4	K	polypeptide(L)	125.0	P01889	K	275.0	0.817	362.0	0.7596685082872928	2.5	2AK4_K
152	2AK4	Q	polypeptide(L)	126.0	P01889	Q	275.0	0.817	362.0	0.7596685082872928	2.5	2AK4_Q
153	2AK4	B	polypeptide(L)	127.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.5	2AK4_B
154	2AK4	G	polypeptide(L)	128.0	P61769	G	98.0	1.0	119.0	0.8235294117647058	2.5	2AK4_G
155	2AK4	L	polypeptide(L)	129.0	P61769	L	98.0	1.0	119.0	0.8235294117647058	2.5	2AK4_L
156	2AK4	R	polypeptide(L)	130.0	P61769	R	98.0	1.0	119.0	0.8235294117647058	2.5	2AK4_R
157	2AK4	C	polypeptide(L)	131.0	P03206	C	12.0	0.053	245.0	0.0489795918367346	2.5	2AK4_C
158	2AK4	H	polypeptide(L)	132.0	P03206	H	12.0	0.053	245.0	0.0489795918367346	2.5	2AK4_H
159	2AK4	M	polypeptide(L)	133.0	P03206	M	12.0	0.053	245.0	0.0489795918367346	2.5	2AK4_M
160	2AK4	S	polypeptide(L)	134.0	P03206	S	12.0	0.053	245.0	0.0489795918367346	2.5	2AK4_S
161	2AK4	D	polypeptide(L)	135.0	P01848	D	92.0	0.664	140.0	0.6571428571428571	2.5	2AK4_D
162	2AK4	I	polypeptide(L)	136.0	P01848	I	92.0	0.664	140.0	0.6571428571428571	2.5	2AK4_I
163	2AK4	N	polypeptide(L)	137.0	P01848	N	92.0	0.664	140.0	0.6571428571428571	2.5	2AK4_N
164	2AK4	T	polypeptide(L)	138.0	P01848	T	92.0	0.664	140.0	0.6571428571428571	2.5	2AK4_T
165	2AK4	E	polypeptide(L)	139.0	P01850	E	128.0	0.733	176.0	0.7272727272727273	2.5	2AK4_E
166	2AK4	J	polypeptide(L)	140.0	P01850	J	128.0	0.733	176.0	0.7272727272727273	2.5	2AK4_J
167	2AK4	P	polypeptide(L)	141.0	P01850	P	128.0	0.733	176.0	0.7272727272727273	2.5	2AK4_P
168	2AK4	U	polypeptide(L)	142.0	P01850	U	128.0	0.733	176.0	0.7272727272727273	2.5	2AK4_U
169	3SE8	G	polypeptide(L)	143.0	Q0ED31	G	443.0	0.412	857.0	0.5169194865810969	1.895	3SE8_G
170	3SE8	H	polypeptide(L)									3SE8_H
171	3SE8	L	polypeptide(L)									3SE8_L
172	2G2U	A	polypeptide(L)	144.0	P0AD64	A	264.0	1.0	286.0	0.9230769230769232	1.6	2G2U_A
173	2G2U	B	polypeptide(L)	145.0	P35804	B	164.0	1.0	201.0	0.8159203980099502	1.6	2G2U_B
174	3NPS	A	polypeptide(L)	146.0	Q9Y5Y6	A	240.0	0.282	855.0	0.2807017543859649	1.5	3NPS_A
175	3NPS	B	polypeptide(L)									3NPS_B
176	3NPS	C	polypeptide(L)									3NPS_C
177	1KTZ	A	polypeptide(L)	147.0	P10600	A	111.0	0.288	412.0	0.2694174757281553	2.15	1KTZ_A
178	1KTZ	B	polypeptide(L)	148.0	P37173	B	121.0	0.224	567.0	0.2134038800705467	2.15	1KTZ_B
179	3SE4	A	polypeptide(L)	149.0	P17181	A	408.0	0.772	557.0	0.7324955116696589	3.5001	3SE4_A
180	3SE4	B	polypeptide(L)	150.0	P05000	B	173.0	1.0	195.0	0.8871794871794871	3.5001	3SE4_B
181	3SE4	C	polypeptide(L)	151.0	P48551	C	198.0	0.407	515.0	0.3844660194174757	3.5001	3SE4_C
182	1EAW	A	polypeptide(L)	152.0	Q9Y5Y6	A	240.0	0.282	855.0	0.2807017543859649	2.93	1EAW_A
183	1EAW	C	polypeptide(L)	153.0	Q9Y5Y6	C	240.0	0.282	855.0	0.2807017543859649	2.93	1EAW_C
184	1EAW	B	polypeptide(L)	154.0	P00974	B	57.0	0.734	100.0	0.57	2.93	1EAW_B
185	1EAW	D	polypeptide(L)	155.0	P00974	D	57.0	0.734	100.0	0.57	2.93	1EAW_D
186	4P23	A	polypeptide(L)									4P23_A
187	4P23	B	polypeptide(L)									4P23_B
188	4P23	C	polypeptide(L)	156.0	P14434	C	178.0	0.768	256.0	0.6953125	2.25	4P23_C
189	4P23	D	polypeptide(L)	157.0	P14483	D	2.0	0.697	265.0	0.0075471698113207	2.25	4P23_D
190	4P23	D	polypeptide(L)	158.0	P14483	D	188.0	0.697	265.0	0.7094339622641509	2.25	4P23_D
191	2BNR	A	polypeptide(L)	159.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	1.9	2BNR_A
192	2BNR	B	polypeptide(L)	160.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	1.9	2BNR_B
193	2BNR	C	polypeptide(L)	161.0	P78358	C	8.0	0.05	180.0	0.0444444444444444	1.9	2BNR_C
194	2BNR	D	polypeptide(L)	162.0	A0A0B4J279	D	91.0	0.989	112.0	0.8125	1.9	2BNR_D
195	2BNR	D	polypeptide(L)	163.0	P01848	D	88.0	0.636	140.0	0.6285714285714286	1.9	2BNR_D
196	2BNR	E	polypeptide(L)	164.0	A0A0K0K1A5	E	92.0	1.0	114.0	0.8070175438596491	1.9	2BNR_E
197	2BNR	E	polypeptide(L)	165.0	P01850	E	128.0	0.733	176.0	0.7272727272727273	1.9	2BNR_E
198	4P5T	A	polypeptide(L)									4P5T_A
199	4P5T	E	polypeptide(L)									4P5T_E
200	4P5T	B	polypeptide(L)									4P5T_B
201	4P5T	F	polypeptide(L)									4P5T_F
202	4P5T	C	polypeptide(L)	166.0	P14434	C	181.0	0.781	256.0	0.70703125	3.263	4P5T_C
203	4P5T	G	polypeptide(L)	167.0	P14434	G	181.0	0.781	256.0	0.70703125	3.263	4P5T_G
204	4P5T	D	polypeptide(L)	168.0	P14483	D	194.0	0.803	265.0	0.7320754716981132	3.263	4P5T_D
205	4P5T	H	polypeptide(L)	169.0	P14483	H	194.0	0.803	265.0	0.7320754716981132	3.263	4P5T_H
206	4PWX	A	polypeptide(L)	170.0	Q12154	A	352.0	0.997	354.0	0.9943502824858758	5.4	4PWX_A
207	4PWX	B	polypeptide(L)	171.0	Q12154	B	352.0	0.997	354.0	0.9943502824858758	5.4	4PWX_B
208	4PWX	C	polypeptide(L)	172.0	Q12125	C	279.0	0.897	312.0	0.8942307692307693	5.4	4PWX_C
209	4PWX	E	polypeptide(L)	173.0	Q12125	E	279.0	0.897	312.0	0.8942307692307693	5.4	4PWX_E
210	4PWX	D	polypeptide(L)	174.0	Q12285	D	53.0	0.255	212.0	0.25	5.4	4PWX_D
211	4PWX	F	polypeptide(L)	175.0	Q12285	F	53.0	0.255	212.0	0.25	5.4	4PWX_F
212	3SE9	G	polypeptide(L)	176.0	Q0ED31	G	443.0	0.412	857.0	0.5169194865810969	2.0	3SE9_G
213	3SE9	H	polypeptide(L)									3SE9_H
214	3SE9	L	polypeptide(L)									3SE9_L
215	1DVF	A	polypeptide(L)	177.0	P01635	A	94.0	1.0	115.0	0.8173913043478261	1.9	1DVF_A
216	1DVF	B	polypeptide(L)	178.0	P01820	B	95.0	1.0	115.0	0.8260869565217391	1.9	1DVF_B
217	1DVF	C	polypeptide(L)	179.0	P01646	C	106.0	0.991	108.0	0.9814814814814816	1.9	1DVF_C
218	1DVF	D	polypeptide(L)	180.0	A0NA69	D	97.0	0.951	122.0	0.7950819672131147	1.9	1DVF_D
219	3QHY	A	polypeptide(L)	181.0	Q93T42	A	270.0	0.877	309.0	0.8737864077669902	2.06	3QHY_A
220	3QHY	B	polypeptide(L)	182.0	O87916	B	270.0	0.968	311.0	0.8681672025723473	2.06	3QHY_B
221	3QIB	A	polypeptide(L)	183.0	P04224	A	190.0	0.83	255.0	0.7450980392156863	2.7	3QIB_A
222	3QIB	B	polypeptide(L)	184.0	P04230	B	195.0	0.824	264.0	0.7386363636363636	2.7	3QIB_B
223	3QIB	C	polypeptide(L)	185.0	P01848	C	92.0	0.664	140.0	0.6571428571428571	2.7	3QIB_C
224	3QIB	D	polypeptide(L)									3QIB_D
225	3QIB	P	polypeptide(L)	186.0	P00039	P	11.0	0.111	108.0	0.1018518518518518	2.7	3QIB_P
226	1DQJ	A	polypeptide(L)	187.0	P01837	A	106.0	1.0	107.0	0.9906542056074766	2.0	1DQJ_A
227	1DQJ	B	polypeptide(L)	188.0	P01865	B	95.0	0.241	398.0	0.2386934673366834	2.0	1DQJ_B
228	1DQJ	C	polypeptide(L)	189.0	P00698	C	128.0	1.0	147.0	0.8707482993197279	2.0	1DQJ_C
229	3SZK	A	polypeptide(L)	190.0	P69905	A	140.0	0.993	142.0	0.9859154929577464	3.01	3SZK_A
230	3SZK	D	polypeptide(L)	191.0	P69905	D	140.0	0.993	142.0	0.9859154929577464	3.01	3SZK_D
231	3SZK	B	polypeptide(L)	192.0	P68871	B	145.0	0.993	147.0	0.9863945578231292	3.01	3SZK_B
232	3SZK	E	polypeptide(L)	193.0	P68871	E	145.0	0.993	147.0	0.9863945578231292	3.01	3SZK_E
233	3SZK	C	polypeptide(L)	194.0	Q8NW39	C	143.0	0.168	895.0	0.1597765363128491	3.01	3SZK_C
234	3SZK	F	polypeptide(L)	195.0	Q8NW39	F	143.0	0.168	895.0	0.1597765363128491	3.01	3SZK_F
235	1B41	A	polypeptide(L)	196.0	P22303	A	538.0	0.925	614.0	0.8762214983713354	2.76	1B41_A
236	1B41	B	polypeptide(L)	197.0	P0C1Z0	B	60.0	1.0	61.0	0.9836065573770492	2.76	1B41_B
237	1FSS	A	polypeptide(L)	198.0	P04058	A	536.0	0.95	586.0	0.9146757679180888	3.0	1FSS_A
238	1FSS	B	polypeptide(L)	199.0	P0C1Z0	B	60.0	1.0	61.0	0.9836065573770492	3.0	1FSS_B
239	1K8R	A	polypeptide(L)	200.0	P01112	A	165.0	0.878	189.0	0.873015873015873	3.0	1K8R_A
240	1K8R	B	polypeptide(L)	201.0	P28829	B	109.0	0.167	659.0	0.165402124430956	3.0	1K8R_B
241	2NZ9	A	polypeptide(L)	202.0	P0DPI1	A	1294.0	0.999	1296.0	0.9984567901234568	3.79	2NZ9_A
242	2NZ9	B	polypeptide(L)	203.0	P0DPI1	B	1294.0	0.999	1296.0	0.9984567901234568	3.79	2NZ9_B
243	2NZ9	C	polypeptide(L)									2NZ9_C
244	2NZ9	E	polypeptide(L)									2NZ9_E
245	2NZ9	D	polypeptide(L)									2NZ9_D
246	2NZ9	F	polypeptide(L)									2NZ9_F
247	1FFW	A	polypeptide(L)	204.0	P0AE67	A	127.0	0.992	129.0	0.9844961240310076	2.7	1FFW_A
248	1FFW	C	polypeptide(L)	205.0	P0AE67	C	127.0	0.992	129.0	0.9844961240310076	2.7	1FFW_C
249	1FFW	B	polypeptide(L)	206.0	P07363	B	133.0	0.205	654.0	0.2033639143730886	2.7	1FFW_B
250	1FFW	D	polypeptide(L)	207.0	P07363	D	133.0	0.205	654.0	0.2033639143730886	2.7	1FFW_D
251	3M62	A	polypeptide(L)	208.0	P54860	A	960.0	1.0	961.0	0.9989594172736732	2.4	3M62_A
252	3M62	B	polypeptide(L)	209.0	P32628	B	83.0	0.211	398.0	0.2085427135678391	2.4	3M62_B
253	1XD3	A	polypeptide(L)	210.0	P15374	A	229.0	1.0	230.0	0.9956521739130436	1.45	1XD3_A
