	CC_ID	SRVs	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
10	10	69	108	44	28	2B0U_C,1REW_D,2B0U_D,3B4V_A,3BK3_B,3B4V_B,1REW_C,2B0U_A,1KTZ_A,3HH2_D,3B4V_E,3SEK_C,2B0U_B,1KTZ_B,3BK3_C,3HH2_C,3B4V_F,3B4V_C,1REW_B,1REW_A,3B4V_D,3HH2_B,3B4V_H,3BK3_A,3HH2_A,3BK3_D,3SEK_B,3B4V_G
11	11	2	6	0	3	1U7F_C,1U7F_B,1U7F_A
12	12	8	32	8	8	2DSQ_C,1WQJ_B,2DSQ_I,2DSQ_G,2DSQ_H,2DSQ_A,1WQJ_I,2DSQ_B
13	13	16	46	132	19	2B11_D,2B10_D,2PCC_C,2B11_A,2B0Z_B,2B11_C,2B11_B,2B0Z_A,2PCB_C,2PCC_D,2PCC_B,2B10_A,2B12_B,2PCB_B,2PCB_A,2B12_A,2B10_C,2B10_B,2PCC_A
14	14	8	14	4	6	3R9A_C,3R9A_D,2C0L_A,3R9A_A,3R9A_B,2C0L_B
15	15	6	24	16	8	4RA0_A,4RA0_C,2C5D_D,4RA0_D,2C5D_B,2C5D_C,4RA0_B,2C5D_A
16	16	4	36	32	12	3D5S_A,3D5R_B,2GOX_A,3D5R_A,3D5S_D,2GOX_B,2GOX_D,3D5R_C,3D5S_C,3D5R_D,2GOX_C,3D5S_B
17	17	8	4	0	4	2HLE_A,4L0P_B,4L0P_A,2HLE_B
18	18	16	30	0	6	2J0T_B,2J0T_E,2J0T_C,2J0T_A,2J0T_F,2J0T_D
19	19	5	2	0	2	2KSO_B,2KSO_A
20	20	2	12	0	4	3BP8_C,3BP8_A,3BP8_D,3BP8_B
21	21	22	254	16	22	3LNZ_H,3LNZ_E,3LNZ_A,3LNZ_N,3LNZ_I,3LNZ_M,3EQY_C,3LNZ_O,3LNZ_G,3LNZ_F,3LNZ_D,3EQS_A,3LNZ_B,3EQY_A,3EQY_D,3LNZ_K,3LNZ_C,3LNZ_L,3LNZ_P,3LNZ_J,3EQS_B,3EQY_B
22	22	11	18	8	10	3NVQ_B,5CXB_B,3NVN_A,3NVQ_F,5CYK_A,5CXB_A,3NVQ_E,3NVN_B,5CYK_B,3NVQ_A
23	23	11	12	0	4	3Q8D_E,3Q8D_A,3Q8D_F,3Q8D_B
24	24	1	12	0	4	3RF3_B,3RF3_D,3RF3_A,3RF3_C
25	25	9	34	6	10	3SF4_E,3SF4_D,4G2V_A,3SF4_A,3SF4_B,4G2V_B,3SF4_F,4WND_B,3SF4_C,4WND_A
26	26	21	30	0	6	3SZK_E,3SZK_C,3SZK_B,3SZK_A,3SZK_F,3SZK_D
27	27	2	14	4	6	4MYW_C,3U82_A,3U82_B,4MYW_D,4MYW_B,4MYW_A
28	28	6	24	16	8	3UIG_B,3UIG_A,3UII_B,3UII_A,3UIG_P,3UII_P,3UIG_Q,3UII_Q
29	29	6	56	0	8	3VR6_C,3VR6_F,3VR6_D,3VR6_E,3VR6_G,3VR6_B,3VR6_A,3VR6_H
30	30	22	32	0	8	4OFY_B,4OFY_E,4OFY_D,4BFI_B,4OFY_A,4BFI_A,4OFY_C,4OFY_F
31	31	8	12	0	4	4CPA_A,4CPA_J,4CPA_I,4CPA_B
32	32	8	12	0	4	4CVW_D,4CVW_A,4CVW_C,4CVW_B
33	33	3	72	0	9	4E6K_C,4E6K_F,4E6K_I,4E6K_E,4E6K_B,4E6K_H,4E6K_A,4E6K_D,4E6K_G
34	34	4	22	4	7	4EKD_B,4GNK_D,4GNK_C,4EKD_A,4GNK_A,4GNK_E,4GNK_B
35	35	11	10	6	7	4O27_B,4O27_A,4NZW_A,4NZW_B,4FZA_A,4FZA_B,4O27_C
36	36	8	12	0	4	4HFK_A,4HFK_D,4HFK_C,4HFK_B
37	37	4	30	0	6	4HSA_D,4HSA_C,4HSA_F,4HSA_A,4HSA_B,4HSA_E
38	38	5	12	0	4	4J2L_A,4J2L_D,4J2L_B,4J2L_C
39	39	1	12	0	4	4LRX_A,4LRX_D,4LRX_C,4LRX_B
40	40	25	30	0	6	4PWX_C,4PWX_B,4PWX_A,4PWX_F,4PWX_D,4PWX_E
41	41	17	8	6	8	4YH7_A,4YEB_A,4YEB_B,4YFD_B,4Y61_A,4YFD_A,4Y61_B,4YH7_B
42	42	19	4	0	4	5M2O_B,5K39_B,5K39_A,5M2O_A
43	43	7	2	0	2	2O3B_B,2O3B_A
44	44	4	2	0	2	2BTF_A,2BTF_P
45	45	6	2	0	2	4JEU_A,4JEU_B
46	46	13	2	0	2	5F4E_B,5F4E_A
47	47	1	2	0	2	1YCS_A,1YCS_B
48	48	5	2	0	2	2DVW_A,2DVW_B
49	49	3	2	0	2	2B42_B,2B42_A
50	50	3	2	0	2	1KBH_A,1KBH_B
51	51	7	2	0	2	5E6P_B,5E6P_A
52	52	13	2	0	2	1KNE_A,1KNE_P
53	53	3	2	0	2	3WWN_A,3WWN_B
54	54	3	2	0	2	2HRK_A,2HRK_B
55	55	12	2	0	2	1F47_B,1F47_A
56	56	240	6	0	3	3BT1_A,3BT1_U,3BT1_B
