	CC_ID	SRVs	SRVs %	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
10	10	9	0.21587910769968818	0	0	2	1GCQ_C,1EFN_A
11	11	81	1.9429119692971935	3	20	10	2VLN_B,2WPT_A,2VLQ_B,2WPT_B,2GYK_A,2VLP_B,1EMV_B,1FR2_A,2VLO_B,1EMV_A
12	12	21	0.5037179179659391	0	2	2	3MZW_B,1FC2_C
13	13	2	0.04797313504437515	0	2	2	1GL1_I,1GL0_I
14	14	17	0.4077716478771888	0	1	3	1SBB_B,3W2D_A,1JCK_B
15	15	149	3.573998560805949	4	10	10	2G2W_A,1JTG_B,2G2U_B,1S0W_C,1JTD_A,3QHY_B,3N4I_A,1JTG_A,1JTD_B,2G2U_A
16	16	8	0.1918925401775006	0	3	5	2J12_A,1KAC_A,2J1K_C,1P69_A,1P6A_A
17	17	8	0.1918925401775006	0	1	2	1WQJ_I,2DSQ_I
18	18	15	0.3597985128328136	3	2	5	4ZS6_A,2AJF_E,3KBH_A,3KBH_E,2AJF_A
19	19	28	0.6716238906212522	0	3	4	3HH2_C,3SEK_C,3B4V_C,2B0U_C
20	20	16	0.3837850803550012	2	11	7	2B0Z_B,2B12_B,2B11_B,2B10_B,2PCB_A,2PCC_B,2PCC_A
21	21	6	0.14391940513312546	0	2	2	4RA0_C,2C5D_C
22	22	4	0.0959462700887503	0	1	3	2GOX_B,3D5R_C,3D5S_C
23	23	8	0.1918925401775006	0	0	2	2HLE_A,4L0P_A
24	24	5	0.11993283761093788	2	0	2	2KSO_B,2KSO_A
25	25	7	0.16790597265531304	0	2	4	2VIR_C,4GXU_A,3LZF_A,2VIS_C
26	26	22	0.5277044854881267	0	0	3	3LNZ_B,3EQS_B,3EQY_C
27	27	11	0.2638522427440633	2	1	5	5CYK_B,3NVQ_A,3NVN_B,5CXB_B,3NVN_A
28	28	9	0.21587910769968818	2	2	4	4WND_A,4G2V_A,3SF4_D,3SF4_A
29	29	2	0.04797313504437515	0	1	2	3U82_B,4MYW_B
30	30	6	0.14391940513312546	0	1	2	3UIG_A,3UII_A
31	31	22	0.5277044854881267	1	0	3	4OFY_D,4OFY_A,4BFI_B
32	32	4	0.0959462700887503	1	2	3	4GNK_A,4GNK_B,4EKD_A
33	33	11	0.2638522427440633	4	3	6	4NZW_B,4FZA_B,4NZW_A,4O27_B,4FZA_A,4O27_A
34	34	8	0.1918925401775006	2	0	2	4HFK_D,4HFK_B
35	35	25	0.5996641880546894	4	0	3	4PWX_A,4PWX_C,4PWX_B
36	36	17	0.4077716478771888	5	5	8	4YH7_B,4YH7_A,4YEB_A,4YFD_B,4YFD_A,4Y61_B,4YEB_B,4Y61_A
37	37	6	0.14391940513312546	1	0	2	4JEU_A,4JEU_B
38	38	13	0.31182537778843844	1	0	2	5F4E_A,5F4E_B
39	39	19	0.4557447829215639	2	0	2	1FFW_B,1FFW_A
40	40	5	0.11993283761093788	1	0	2	2DVW_A,2DVW_B
41	41	10	0.23986567522187577	1	0	2	3AAA_A,3AAA_C
42	42	5	0.11993283761093788	2	0	2	4J2L_C,4J2L_A
43	43	2	0.04797313504437515	2	0	2	3BP8_C,3BP8_A
44	44	14	0.3358119453106261	2	0	2	5M2O_B,5M2O_A
45	45	27	0.6476373230990645	1	0	2	1KTZ_A,1KTZ_B
46	46	3	0.07195970256656273	1	0	2	1KBH_A,1KBH_B
47	47	7	0.16790597265531304	2	0	2	5E6P_B,5E6P_A
48	48	13	0.31182537778843844	1	0	2	1KNE_A,1KNE_P
49	49	3	0.07195970256656273	2	0	2	2HRK_B,2HRK_A
50	50	8	0.1918925401775006	2	0	2	4CVW_C,4CVW_A
51	51	240	5.756776205325018	2	0	1	3BT1_U
52	52	54	1.295274646198129	2	0	1	1GC1_C
53	53	44	1.0554089709762533	2	0	1	2JEL_P
54	54	21	0.5037179179659391	2	0	1	3SZK_C
55	55	16	0.3837850803550012	2	0	1	2J0T_D
56	56	13	0.31182537778843844	2	0	1	3BK3_C
57	57	12	0.2878388102662509	2	0	1	1F47_A
58	58	11	0.2638522427440633	2	0	1	3Q8D_A
59	59	10	0.23986567522187577	2	0	1	2SIC_I
60	60	9	0.21587910769968818	2	0	1	1MAH_A
61	61	9	0.21587910769968818	2	0	1	4NM8_B
62	62	8	0.1918925401775006	2	0	1	1FCC_C
63	63	8	0.1918925401775006	2	0	1	4CPA_I
64	64	8	0.1918925401775006	2	0	1	4JPK_A
65	65	8	0.1918925401775006	2	0	1	5TAR_B
66	66	7	0.16790597265531304	2	0	1	2O3B_B
67	67	7	0.16790597265531304	2	0	1	3BX1_C
68	68	7	0.16790597265531304	2	0	1	3F1S_A
69	69	6	0.14391940513312546	2	0	1	3VR6_G
70	70	6	0.14391940513312546	2	0	1	4X4M_E
71	71	5	0.11993283761093788	2	0	1	1SMF_I
72	72	5	0.11993283761093788	2	0	1	1UUZ_A
73	73	5	0.11993283761093788	2	0	1	3R9A_A
74	74	5	0.11993283761093788	2	0	1	5K39_B
75	75	4	0.0959462700887503	2	0	1	2BTF_P
76	76	4	0.0959462700887503	2	0	1	4HSA_A
77	77	4	0.0959462700887503	2	0	1	4N8V_G
78	78	3	0.07195970256656273	2	0	1	1N8O_E
79	79	3	0.07195970256656273	2	0	1	2AW2_B
80	80	3	0.07195970256656273	2	0	1	2B42_A
81	81	3	0.07195970256656273	2	0	1	2C0L_A
82	82	3	0.07195970256656273	2	0	1	2OOB_A
83	83	3	0.07195970256656273	2	0	1	3WWN_A
84	84	3	0.07195970256656273	2	0	1	4E6K_G
85	85	2	0.04797313504437515	2	0	1	1U7F_B
86	86	2	0.04797313504437515	2	0	1	2A9K_B
87	87	2	0.04797313504437515	2	0	1	4U6H_E
88	88	1	0.023986567522187575	2	0	1	1HE8_A
89	89	1	0.023986567522187575	2	0	1	1REW_C
90	90	1	0.023986567522187575	2	0	1	1YCS_A
91	91	1	0.023986567522187575	2	0	1	3RF3_C
92	92	1	0.023986567522187575	2	0	1	4JGH_D
93	93	1	0.023986567522187575	2	0	1	4LRX_A
