From	Entry
2C0L	P22307
2C0L	P50542
2B42	P18429
5UFQ	P01116
4E6K	Q9HY79
4E6K	Q9HY80
2GOX	P68799
2GOX	P01024
5CYK	G0SCK6
5CYK	G0SFB5
1B2U	P00648
1B2U	P11540
1B2S	P00648
1B2S	P11540
1B3S	P00648
1B3S	P11540
4GXU	Q9WFX3
4G2V	Q8VDU0
4G2V	Q5SYB0
4RA0	P30530
4RA0	Q14393
1FY8	P00763
1FY8	P00974
4Y61	Q64487
4Y61	Q810C0
4WND	P81274
4WND	Q14CM0
4U6H	P07612
4KRO	P00533
4KRL	P00533
4MNQ	O14746
4MNQ	P01850
4MNQ	P04439
4MNQ	P61769
1KAC	P36711
1KAC	P78310
3LZF	Q9WFX3
3G6D	P35225
2VIR	P03437
3BP8	P50456
3BP8	P69786
3NVN	Q8JL80
3NVN	O60486
1U7F	P84022
1U7F	Q13485
3NVQ	O60486
3NVQ	O75326
2A9K	P15879
2A9K	P11233
1EFN	P03406
1EFN	P06241
2HLE	P52799
2HLE	P54760
2REX	O43157
2REX	Q92730
2I26	P00698
2E7L	P01897
2G2W	P35804
2G2W	P0AD64
2J12	P78310
2GYK	P09883
2GYK	P13479
2J8U	P01849
2J8U	P04213
2J8U	P04439
2J8U	P61769
2J8U	Q9NPA0
2B0Z	P00044
2B0Z	P00431
2B10	P00044
2B10	P00431
2B11	P00044
2B11	P00431
2B12	P00044
2B12	P00431
2UWE	P04213
2UWE	P04439
2UWE	P61769
2UWE	Q9NPA0
2SGQ	P00777
2SGQ	P68390
2SGP	P00777
2SGP	P68390
2P5E	P01848
2P5E	P01850
2P5E	P04439
2P5E	P61769
2P5E	P78358
2NU4	P00777
2NU4	P68436
2OI9	P01738
2OI9	P01897
2NU1	P00777
2NU1	P68436
2NU2	P00777
2NU2	P68436
2NU0	P00777
2NU0	P68436
2BNQ	A0A0B4J279
2BNQ	A0A0K0K1A5
2BNQ	P01848
2BNQ	P01850
2BNQ	P04439
2BNQ	P61769
2BNQ	P78358
2JCC	P01849
2JCC	P04439
2JCC	P61769
2JCC	Q9NPA0
1Y3C	P00782
1Y34	P00782
1Y33	P00782
1Y1K	P00782
1Y3B	P00782
1Y48	P00782
1Y3D	P00782
3BTT	P00760
3BTT	P00974
3BTH	P00760
3BTH	P00974
3BTG	P00760
3BTG	P00974
3BTQ	P00760
3BTQ	P00974
3BTM	P00760
3BTM	P00974
2VLN	P09883
2VLN	P13479
3BTD	P00760
3BTD	P00974
3BTE	P00760
3BTE	P00974
3BTF	P00760
3BTF	P00974
2VIS	P03437
2VLO	P09883
2VLO	P13479
2VLP	P09883
2VLP	P13479
2VLQ	P09883
2VLQ	P13479
2VLR	P03485
2VLR	P01848
2VLR	P01850
2VLR	P04439
2VLR	P0DSE1
2VLR	P0DSE2
2VLR	P61769
3QFJ	P04439
3QFJ	P61769
3Q3J	O75051
3Q3J	Q92730
3PWP	P01848
3PWP	P04439
3PWP	P61769
3NCC	P01236
3NCC	P16471
3N4I	P35804
3N4I	P0AD64
3NCB	P01236
3NCB	P16471
3N06	P01236
3N06	P16471
3N0P	P01236
3N0P	P16471
1TO1	P00782
1X1W	P00648
1X1W	P11540
1X1X	P00648
1X1X	P11540
1TM3	P00782
1TM4	P00782
1TM5	P00782
1TM7	P00782
1TMG	P00782
1YQV	P00698
1YCS	P04637
1YCS	Q13625
3H9S	P38110
3H9S	P04439
3H9S	P61769
3L5X	P35225
3LNZ	Q00987
3D5S	A6QG59
3D5S	P01024
3BTW	P00760
3BTW	P00974
3D5R	A6QG59
3D5R	P01024
3EG5	O08808
3EG5	P60766
1P6A	P36711
1P6A	P78310
1REW	P12643
1REW	P36894
1CSO	P00777
1CSO	P68390
1CT4	P00777
1CT4	P68390
1QSE	P04439
1QSE	P61769
1CT0	P00777
1CT0	P68390
3RF3	P18010
3RF3	P18206
1M9E	P62937
1KIR	P01820
1KIR	P00698
1KIP	P01635
1KIP	P00698
1KIQ	P01635
1KIQ	P00698
1SIB	P00782
1SIB	P01051
3TGK	P00763
3TGK	P00974
3U82	Q69091
3U82	Q15223
3UII	O15392
3UII	P68431
1SGQ	P00777
1SGQ	P68390
1SGY	P00777
1SGY	P68390
1SGP	P00777
1SGP	P68390
1S0W	P35804
1S0W	P62593
1SBN	P00782
1SBN	P01051
1SGD	P00777
1SGD	P68390
1SGE	P00777
1SGE	P68390
1SGN	P00777
1SGN	P68390
1CT2	P00777
1CT2	P68390
1P69	P36711
1P69	P78310
1CZ8	P15692
4EKD	P21279
4EKD	P41220
1GRN	P60953
1GRN	Q07960
1GL1	P80060
1GL1	P00766
1GL0	P80060
1GL0	P00766
1HE8	P01112
1HE8	P48736
4JFD	P01848
4JFD	P01850
4JFD	P04439
4JFD	P61769
1FR2	P09883
1FR2	P13479
1F5R	P00763
1F5R	P00974
4JGH	P62869
4JGH	P83940
4JGH	O14508
4JGH	Q93034
4JFE	P01848
4JFE	P01850
4JFE	P04439
4JFE	P61769
4KRP	P00533
4LRX	P76015
4LRX	P76016
4MYW	P03172
4MYW	Q15223
