From	Entry	Reviewed	Length
P30530	P30530	reviewed	894
P32628	P32628	reviewed	398
P32851	P32851	reviewed	288
P32927	P32927	reviewed	897
P35225	P35225	reviewed	146
P35804	P35804	reviewed	201
P36711	P36711	reviewed	587
P36894	P36894	reviewed	532
P37173	P37173	reviewed	567
P38110	P38110	reviewed	2787
P38446	P38446	reviewed	274
P38507	P38507	reviewed	508
P41220	P41220	reviewed	211
P43435	P43435	reviewed	210
P43455	P43455	reviewed	103
P43631	P43631	reviewed	304
P43686	P43686	reviewed	418
P45481	P45481	reviewed	2441
P46655	P46655	reviewed	708
P46672	P46672	reviewed	376
P48510	P48510	reviewed	373
P48551	P48551	reviewed	515
P48736	P48736	reviewed	1102
P50456	P50456	reviewed	406
P50542	P50542	reviewed	639
P52799	P52799	reviewed	333
P52803	P52803	reviewed	228
P54253	P54253	reviewed	815
P54760	P54760	reviewed	987
P54860	P54860	reviewed	961
P55899	P55899	reviewed	365
P58546	P58546	reviewed	118
P59594	P59594	reviewed	1255
P59823	P59823	reviewed	695
P60712	P60712	reviewed	375
P60766	P60766	reviewed	191
P60953	P60953	reviewed	191
P61765	P61765	reviewed	594
P61769	P61769	reviewed	119
P62593	P62593	reviewed	286
P62834	P62834	reviewed	184
P62869	P62869	reviewed	118
P62937	P62937	reviewed	165
P62993	P62993	reviewed	217
P63000	P63000	reviewed	192
P68036	P68036	reviewed	154
P68390	P68390	reviewed	185
P68431	P68431	reviewed	136
P68436	P68436	reviewed	56
P68799	P68799	reviewed	165
P68871	P68871	reviewed	147
P69786	P69786	reviewed	477
P69905	P69905	reviewed	142
P76015	P76015	reviewed	356
P76016	P76016	reviewed	639
P77173	P77173	reviewed	328
P78310	P78310	reviewed	365
P78358	P78358	reviewed	180
P80060	P80060	reviewed	92
P81274	P81274	reviewed	684
P83940	P83940	reviewed	112
P84022	P84022	reviewed	425
Q00987	Q00987	reviewed	491
Q01196	Q01196	reviewed	453
Q01970	Q01970	reviewed	1234
Q03386	Q03386	reviewed	895
Q03405	Q03405	reviewed	335
Q05086	Q05086	reviewed	875
Q06853	Q06853	reviewed	688
Q07960	Q07960	reviewed	439
Q08636	Q08636	reviewed	593
Q08637	Q08637	reviewed	458
Q12125	Q12125	reviewed	312
Q12154	Q12154	reviewed	354
Q12285	Q12285	reviewed	212
Q13191	Q13191	reviewed	982
Q13485	Q13485	reviewed	552
Q13625	Q13625	reviewed	1128
Q13951	Q13951	reviewed	182
Q14393	Q14393	reviewed	678
Q14627	Q14627	reviewed	380
Q14CM0	Q14CM0	reviewed	1322
Q15223	Q15223	reviewed	517
Q16552	Q16552	reviewed	155
Q16655	Q16655	reviewed	118
Q1MX18	Q1MX18	reviewed	579
Q3KST2	Q3KST2	reviewed	935
Q5SYB0	Q5SYB0	reviewed	1578
Q61730	Q61730	reviewed	570
Q64487	Q64487	reviewed	1912
Q65914	Q65914	reviewed	542
Q69091	Q69091	reviewed	394
Q6Q1S2	Q6Q1S2	reviewed	1356
Q76ZQ3	Q76ZQ3	reviewed	90
Q7Z6A9	Q7Z6A9	reviewed	289
Q80TS3	Q80TS3	reviewed	1537
Q810C0	Q810C0	reviewed	846
Q8BGT1	Q8BGT1	reviewed	649
Q8IYV9	Q8IYV9	reviewed	350
Q8JL80	Q8JL80	reviewed	399
Q8NW39	Q8NW39	reviewed	895
Q8VDU0	Q8VDU0	reviewed	679
Q91MA7	Q91MA7	reviewed	566
Q92730	Q92730	reviewed	232
Q92956	Q92956	reviewed	283
Q93034	Q93034	reviewed	780
Q96F46	Q96F46	reviewed	866
Q96RK0	Q96RK0	reviewed	2517
Q99816	Q99816	reviewed	390
Q9BYF1	Q9BYF1	reviewed	805
Q9ES57	Q9ES57	reviewed	326
Q9HXB1	Q9HXB1	reviewed	153
Q9HY79	Q9HY79	reviewed	158
Q9HY80	Q9HY80	reviewed	73
Q9NPA0	Q9NPA0	reviewed	242
Q9P289	Q9P289	reviewed	416
Q9U3P2	Q9U3P2	reviewed	1270
Q9UK55	Q9UK55	reviewed	444
Q9WFX3	Q9WFX3	reviewed	566
Q9Y376	Q9Y376	reviewed	341
Q9Y5Y6	Q9Y5Y6	reviewed	855
Q9Y6E0	Q9Y6E0	reviewed	443
Q9Y6Q9	Q9Y6Q9	reviewed	1424
Q9Z2X2	Q9Z2X2	reviewed	231
