From	Entry	Reviewed	Length
1KTZ	P10600	reviewed	412
1KTZ	P37173	reviewed	567
1REW	P12643	reviewed	396
1REW	P36894	reviewed	532
3BK3	P12643	reviewed	396
1S0W	P35804	reviewed	201
1S0W	P62593	reviewed	286
1JTG	P35804	reviewed	201
1JTG	P62593	reviewed	286
1HE8	P01112	reviewed	189
1HE8	P48736	reviewed	1102
1H9D	Q01196	reviewed	453
1H9D	Q13951	reviewed	182
1GRN	P60953	reviewed	191
1GRN	Q07960	reviewed	439
1GL1	P80060	reviewed	92
1GL1	P00766	reviewed	245
1GL0	P80060	reviewed	92
1GL0	P00766	reviewed	245
1FFW	P07363	reviewed	654
1FFW	P0AE67	reviewed	129
1FC2	P38507	reviewed	508
1FC2	P01857	reviewed	399
1EAW	Q9Y5Y6	reviewed	855
1EAW	P00974	reviewed	100
3BN9	P01764	reviewed	117
3BN9	P01834	reviewed	107
3BN9	P01857	reviewed	399
3BN9	Q9Y5Y6	reviewed	855
3NPS	Q9Y5Y6	reviewed	855
1DQJ	P01837	reviewed	107
1DQJ	P01865	reviewed	398
1DQJ	P00698	reviewed	147
2G2U	P35804	reviewed	201
2G2U	P0AD64	reviewed	286
2G2W	P35804	reviewed	201
2G2W	P0AD64	reviewed	286
3N4I	P35804	reviewed	201
3N4I	P0AD64	reviewed	286
2FTL	P00760	reviewed	246
2FTL	P00974	reviewed	100
1CBW	P00766	reviewed	245
1CBW	P00767	reviewed	245
1CBW	P00974	reviewed	100
1A4Y	P03950	reviewed	147
1A4Y	P13489	reviewed	461
1Z7X	P07998	reviewed	156
1Z7X	P13489	reviewed	461
1A22	P01241	reviewed	217
1A22	P10912	reviewed	638
1BP3	P01241	reviewed	217
1BP3	P16471	reviewed	622
3MZG	P01236	reviewed	227
3MZG	P16471	reviewed	622
3N06	P01236	reviewed	227
3N06	P16471	reviewed	622
3N0P	P01236	reviewed	227
3N0P	P16471	reviewed	622
3NCB	P01236	reviewed	227
3NCB	P16471	reviewed	622
3NCC	P01236	reviewed	227
3NCC	P16471	reviewed	622
1F47	P0A9A6	reviewed	383
1F47	P77173	reviewed	328
1FCC	P19909	reviewed	593
1FCC	P01857	reviewed	399
1GC1	P04578	reviewed	856
1GC1	P01730	reviewed	458
1JRH	P01837	reviewed	107
1JRH	P01869	reviewed	393
1JRH	P15260	reviewed	489
1DAN	P08709	reviewed	466
1DAN	P13726	reviewed	295
1NMB	P05803	reviewed	470
3HFM	P01837	reviewed	107
3HFM	P00698	reviewed	147
1CHO	P68390	reviewed	185
1CHO	P00766	reviewed	245
1PPF	P68390	reviewed	185
1PPF	P08246	reviewed	267
1R0R	P00780	reviewed	379
1R0R	P68390	reviewed	185
3SGB	P00777	reviewed	299
3SGB	P68390	reviewed	185
1SMF	P01062	reviewed	72
1SMF	P00760	reviewed	246
1FY8	P00763	reviewed	246
1FY8	P00974	reviewed	100
3TGK	P00763	reviewed	246
3TGK	P00974	reviewed	100
1F5R	P00763	reviewed	246
1F5R	P00974	reviewed	100
3BTD	P00760	reviewed	246
3BTD	P00974	reviewed	100
3BTE	P00760	reviewed	246
3BTE	P00974	reviewed	100
3BTF	P00760	reviewed	246
3BTF	P00974	reviewed	100
3BTG	P00760	reviewed	246
3BTG	P00974	reviewed	100
3BTH	P00760	reviewed	246
3BTH	P00974	reviewed	100
3BTM	P00760	reviewed	246
3BTM	P00974	reviewed	100
3BTQ	P00760	reviewed	246
3BTQ	P00974	reviewed	100
3BTW	P00760	reviewed	246
3BTW	P00974	reviewed	100
3BTT	P00760	reviewed	246
3BTT	P00974	reviewed	100
2SGP	P00777	reviewed	299
2SGP	P68390	reviewed	185
1CSO	P00777	reviewed	299
1CSO	P68390	reviewed	185
1CT0	P00777	reviewed	299
1CT0	P68390	reviewed	185
1CT2	P00777	reviewed	299
1CT2	P68390	reviewed	185
1CT4	P00777	reviewed	299
1CT4	P68390	reviewed	185
2SGQ	P00777	reviewed	299
2SGQ	P68390	reviewed	185
1SGD	P00777	reviewed	299
1SGD	P68390	reviewed	185
1SGE	P00777	reviewed	299
1SGE	P68390	reviewed	185
1SGN	P00777	reviewed	299
1SGN	P68390	reviewed	185
1SGP	P00777	reviewed	299
1SGP	P68390	reviewed	185
1SGQ	P00777	reviewed	299
1SGQ	P68390	reviewed	185
1SGY	P00777	reviewed	299
1SGY	P68390	reviewed	185
2NU0	P00777	reviewed	299
2NU0	P68436	reviewed	56
2NU1	P00777	reviewed	299
2NU1	P68436	reviewed	56
2NU2	P00777	reviewed	299
2NU2	P68436	reviewed	56
2NU4	P00777	reviewed	299
2NU4	P68436	reviewed	56
2J12	P78310	reviewed	365
2J1K	Q65914	reviewed	542
2J1K	P78310	reviewed	365
1KAC	P36711	reviewed	587
1KAC	P78310	reviewed	365
1P69	P36711	reviewed	587
1P69	P78310	reviewed	365
1P6A	P36711	reviewed	587
1P6A	P78310	reviewed	365
5F4E	A6ND01	reviewed	250
5F4E	Q8IYV9	reviewed	350
3SF4	P81274	reviewed	684
3SF4	Q1MX18	reviewed	579
4G2V	Q8VDU0	reviewed	679
4G2V	Q5SYB0	reviewed	1578
4WND	P81274	reviewed	684
4WND	Q14CM0	reviewed	1322
2VLR	P03485	reviewed	252
2VLR	P01848	reviewed	140
2VLR	P01850	reviewed	176
2VLR	P04439	reviewed	365
2VLR	P0DSE1	reviewed	268
2VLR	P0DSE2	reviewed	310
2VLR	P61769	reviewed	119
1OGA	P01848	reviewed	140
1OGA	P01850	reviewed	176
1OGA	P04439	reviewed	365
1OGA	P0DSE1	reviewed	268
1OGA	P0DSE2	reviewed	310
1OGA	P61769	reviewed	119
2P5E	P01848	reviewed	140
2P5E	P01850	reviewed	176
2P5E	P04439	reviewed	365
2P5E	P61769	reviewed	119
2P5E	P78358	reviewed	180
3QDG	P01848	reviewed	140
3QDG	P04439	reviewed	365
3QDG	P61769	reviewed	119
3QDJ	P01848	reviewed	140
3QDJ	P04439	reviewed	365
3QDJ	P61769	reviewed	119
4L3E	P04439	reviewed	365
4L3E	P61769	reviewed	119
4L3E	Q16655	reviewed	118
1BD2	P14079	reviewed	353
1BD2	P0C213	reviewed	353
1BD2	A0A0K0K1A5	reviewed	114
1BD2	A0A5B9	reviewed	178
1BD2	P01848	reviewed	140
1BD2	P04437	reviewed	119
1BD2	P04439	reviewed	365
1BD2	P61769	reviewed	119
1AO7	P14079	reviewed	353
1AO7	A0A075B6T6	reviewed	113
1AO7	A0A0K0K1A5	reviewed	114
1AO7	A0A5B9	reviewed	178
1AO7	P01848	reviewed	140
1AO7	P01850	reviewed	176
1AO7	P04439	reviewed	365
1AO7	P61769	reviewed	119
4FTV	P0C213	reviewed	353
4FTV	P04439	reviewed	365
4FTV	P61769	reviewed	119
3D3V	P01850	reviewed	176
3D3V	P04439	reviewed	365
3D3V	P61769	reviewed	119
5E9D	A0A075B6T6	reviewed	113
5E9D	P04439	reviewed	365
5E9D	P61769	reviewed	119
5E9D	Q16655	reviewed	118
3QFJ	P04439	reviewed	365
3QFJ	P61769	reviewed	119
4JFF	P01848	reviewed	140
4JFF	P01850	reviewed	176
4JFF	P04439	reviewed	365
4JFF	P61769	reviewed	119
4JFF	Q16655	reviewed	118
4JFD	P01848	reviewed	140
4JFD	P01850	reviewed	176
4JFD	P04439	reviewed	365
4JFD	P61769	reviewed	119
4JFE	P01848	reviewed	140
4JFE	P01850	reviewed	176
4JFE	P04439	reviewed	365
4JFE	P61769	reviewed	119
3PWP	P01848	reviewed	140
3PWP	P04439	reviewed	365
3PWP	P61769	reviewed	119
3H9S	P38110	reviewed	2787
3H9S	P04439	reviewed	365
3H9S	P61769	reviewed	119
2OI9	P01738	reviewed	130
2OI9	P01897	reviewed	362
2E7L	P01897	reviewed	362
1LP9	P01849	reviewed	136
1LP9	P04213	reviewed	122
1LP9	P04439	reviewed	365
1LP9	P61769	reviewed	119
1LP9	Q9NPA0	reviewed	242
2UWE	P04213	reviewed	122
2UWE	P04439	reviewed	365
2UWE	P61769	reviewed	119
2UWE	Q9NPA0	reviewed	242
2JCC	P01849	reviewed	136
2JCC	P04439	reviewed	365
2JCC	P61769	reviewed	119
2JCC	Q9NPA0	reviewed	242
2J8U	P01849	reviewed	136
2J8U	P04213	reviewed	122
2J8U	P04439	reviewed	365
2J8U	P61769	reviewed	119
2J8U	Q9NPA0	reviewed	242
1QSE	P04439	reviewed	365
1QSE	P61769	reviewed	119
1MI5	Q3KST2	reviewed	935
1MI5	P01848	reviewed	140
1MI5	P01850	reviewed	176
1MI5	P01889	reviewed	362
1MI5	P61769	reviewed	119
2AK4	P03206	reviewed	245
2AK4	P01848	reviewed	140
2AK4	P01850	reviewed	176
2AK4	P01889	reviewed	362
2AK4	P61769	reviewed	119
2BNR	A0A0B4J279	reviewed	112
2BNR	A0A0K0K1A5	reviewed	114
2BNR	P01848	reviewed	140
2BNR	P01850	reviewed	176
2BNR	P04439	reviewed	365
2BNR	P61769	reviewed	119
2BNR	P78358	reviewed	180
2BNQ	A0A0B4J279	reviewed	112
2BNQ	A0A0K0K1A5	reviewed	114
2BNQ	P01848	reviewed	140
2BNQ	P01850	reviewed	176
2BNQ	P04439	reviewed	365
2BNQ	P61769	reviewed	119
2BNQ	P78358	reviewed	180
4MNQ	O14746	reviewed	1132
4MNQ	P01850	reviewed	176
4MNQ	P04439	reviewed	365
4MNQ	P61769	reviewed	119
1YY9	P00533	reviewed	1210
3BX1	P29600	reviewed	269
3BX1	P07596	reviewed	203
3SZK	Q8NW39	reviewed	895
3SZK	P68871	reviewed	147
3SZK	P69905	reviewed	142
4GXU	Q9WFX3	reviewed	566
3LZF	Q9WFX3	reviewed	566
1FSS	P04058	reviewed	586
1FSS	P0C1Z0	reviewed	61
1B41	P0C1Z0	reviewed	61
1B41	P22303	reviewed	614
4HRN	P04626	reviewed	1255
1N8Z	P04626	reviewed	1255
3R9A	P21549	reviewed	392
3R9A	P50542	reviewed	639
3G6D	P35225	reviewed	146
3Q8D	P28044	reviewed	175
3Q8D	P0A7H3	reviewed	242
1XGU	P01837	reviewed	107
1XGU	P00698	reviewed	147
1XGP	P01837	reviewed	107
1XGP	P00698	reviewed	147
1XGQ	P01837	reviewed	107
1XGQ	P00698	reviewed	147
1XGR	P00698	reviewed	147
1XGT	P00698	reviewed	147
3RF3	P18010	reviewed	633
3RF3	P18206	reviewed	1134
3AAA	P13127	reviewed	286
3AAA	P14315	reviewed	277
3AAA	P58546	reviewed	118
3LB6	P35225	reviewed	146
3LB6	Q14627	reviewed	380
4K71	P02768	reviewed	609
4K71	P55899	reviewed	365
4K71	P61769	reviewed	119
3UIG	O15392	reviewed	142
3UIG	P68431	reviewed	136
3UII	O15392	reviewed	142
3UII	P68431	reviewed	136
3N85	P04626	reviewed	1255
4N8V	Q76ZQ3	reviewed	90
4N8V	P04439	reviewed	365
4N8V	P43631	reviewed	304
4N8V	P61769	reviewed	119
4B0M	P26926	reviewed	258
4B0M	P26948	reviewed	170
4B0M	P26949	reviewed	833
3M62	P32628	reviewed	398
3M62	P54860	reviewed	961
3M63	P48510	reviewed	373
3M63	P54860	reviewed	961
3SEK	O08689	reviewed	376
3SEK	O95633	reviewed	263
3HH2	O08689	reviewed	376
3HH2	P19883	reviewed	344
3B4V	O95633	reviewed	263
3B4V	P08476	reviewed	426
2B0U	P08476	reviewed	426
2B0U	P19883	reviewed	344
3KBH	Q6Q1S2	reviewed	1356
3KBH	Q9BYF1	reviewed	805
4I77	P35225	reviewed	146
2AW2	Q7Z6A9	reviewed	289
2AW2	Q92956	reviewed	283
3L5X	P35225	reviewed	146
4JPK	P04578	reviewed	856
4FZA	Q9P289	reviewed	416
4FZA	Q9Y376	reviewed	341
1BJ1	P15692	reviewed	395
1CZ8	P15692	reviewed	395
1MHP	P18614	reviewed	1180
2B2X	P01868	reviewed	324
2B2X	P18614	reviewed	1180
1MLC	P01837	reviewed	107
1MLC	P01868	reviewed	324
1MLC	P00698	reviewed	147
2NYY	P0DPI1	reviewed	1296
2NZ9	P0DPI1	reviewed	1296
3MZW	P38507	reviewed	508
3MZW	P04626	reviewed	1255
3S9D	P01563	reviewed	188
3S9D	P48551	reviewed	515
3SE4	P05000	reviewed	195
3SE4	P17181	reviewed	557
3SE4	P48551	reviewed	515
3SE3	P01563	reviewed	188
3SE3	P17181	reviewed	557
3SE3	P48551	reviewed	515
1E50	Q01196	reviewed	453
1E50	Q13951	reviewed	182
1C4Z	P68036	reviewed	154
1C4Z	Q05086	reviewed	875
3VR6	P43435	reviewed	210
3VR6	P43455	reviewed	103
3VR6	Q08636	reviewed	593
3VR6	Q08637	reviewed	458
2BDN	P13500	reviewed	99
1JTD	P62593	reviewed	286
2DVW	Q9Z2X2	reviewed	231
2DVW	P43686	reviewed	418
3WWN	O50147	reviewed	269
3F1S	P22891	reviewed	400
3F1S	Q9UK55	reviewed	444
1KNE	P02299	reviewed	136
1KNE	P05205	reviewed	206
4E6K	Q9HY79	reviewed	158
4E6K	Q9HY80	reviewed	73
2DSQ	P05019	reviewed	195
2DSQ	P08833	reviewed	259
2DSQ	P22692	reviewed	258
1WQJ	P05019	reviewed	195
1WQJ	P22692	reviewed	258
3W2D	P01552	reviewed	266
4BFI	O54901	reviewed	278
4BFI	Q9ES57	reviewed	326
4EKD	P21279	reviewed	359
4EKD	P41220	reviewed	211
4GNK	P21279	reviewed	359
4GNK	Q01970	reviewed	1234
4HSA	Q16552	reviewed	155
4HSA	Q96F46	reviewed	866
4J2L	P54253	reviewed	815
4J2L	Q96RK0	reviewed	2517
4JEU	P32851	reviewed	288
4JEU	P61765	reviewed	594
4JGH	P62869	reviewed	118
4JGH	P83940	reviewed	112
4JGH	O14508	reviewed	198
4JGH	Q93034	reviewed	780
4KRL	P00533	reviewed	1210
4KRO	P00533	reviewed	1210
4KRP	P00533	reviewed	1210
4LRX	P76015	reviewed	356
4LRX	P76016	reviewed	639
4MYW	P03172	reviewed	393
4MYW	Q15223	reviewed	517
3U82	Q69091	reviewed	394
3U82	Q15223	reviewed	517
4NM8	Q91MA7	reviewed	566
4NM8	P01834	reviewed	107
4NZW	O00506	reviewed	426
4NZW	Q9Y376	reviewed	341
4O27	Q9Y376	reviewed	341
4O27	Q9Y6E0	reviewed	443
4OFY	B1Q236	reviewed	730
4OFY	Q9U3P2	reviewed	1270
4OZG	P18573	reviewed	307
4OZG	P01850	reviewed	176
4OZG	P01909	reviewed	254
4OZG	P01920	reviewed	261
4P5T	P14434	reviewed	256
4P5T	P14483	reviewed	265
4P23	P14434	reviewed	256
4P23	P14483	reviewed	265
3C60	P14434	reviewed	256
3C60	P14483	reviewed	265
4PWX	Q12125	reviewed	312
4PWX	Q12154	reviewed	354
4PWX	Q12285	reviewed	212
2C5D	P30530	reviewed	894
2C5D	Q14393	reviewed	678
4RA0	P30530	reviewed	894
4RA0	Q14393	reviewed	678
4U6H	P07612	reviewed	250
4X4M	P01857	reviewed	399
4X4M	P12314	reviewed	374
4Y61	Q64487	reviewed	1912
4Y61	Q810C0	reviewed	846
4YEB	Q80TS3	reviewed	1537
4YEB	Q8BGT1	reviewed	649
4YFD	Q61730	reviewed	570
4YFD	Q64487	reviewed	1912
4YH7	P59823	reviewed	695
4YH7	Q64487	reviewed	1912
5C6T	P13201	reviewed	907
5CXB	G0SCK6	reviewed	801
5CXB	G0SFB5	reviewed	495
5CYK	G0SCK6	reviewed	801
5CYK	G0SFB5	reviewed	495
4RS1	P04141	reviewed	144
4RS1	P15509	reviewed	400
4NKQ	P04141	reviewed	144
4NKQ	P15509	reviewed	400
4NKQ	P32927	reviewed	897
5E6P	B2RXS4	reviewed	1842
5E6P	O15085	reviewed	1522
1U7F	P84022	reviewed	425
1U7F	Q13485	reviewed	552
2REX	O43157	reviewed	2135
2REX	Q92730	reviewed	232
3Q3J	O75051	reviewed	1894
3Q3J	Q92730	reviewed	232
3NVQ	O60486	reviewed	1568
3NVQ	O75326	reviewed	666
3NVN	Q8JL80	reviewed	399
3NVN	O60486	reviewed	1568
4G0N	P01112	reviewed	189
4G0N	P04049	reviewed	648
1GUA	P04049	reviewed	648
1GUA	P62834	reviewed	184
1K8R	P28829	reviewed	659
1K8R	P01112	reviewed	189
3KUD	P01112	reviewed	189
3KUD	P04049	reviewed	648
1C1Y	P04049	reviewed	648
1C1Y	P62834	reviewed	184
3EQS	Q00987	reviewed	491
3LNZ	Q00987	reviewed	491
3EQY	O15151	reviewed	490
5K39	Q06853	reviewed	688
1YCS	P04637	reviewed	393
1YCS	Q13625	reviewed	1128
3EG5	O08808	reviewed	1255
3EG5	P60766	reviewed	191
5XCO	P01116	reviewed	189
5UFE	P01116	reviewed	189
5UFQ	P01116	reviewed	189
5TAR	O43924	reviewed	150
5TAR	P01116	reviewed	189
4L0P	P29320	reviewed	983
4L0P	P52803	reviewed	228
1KBH	P45481	reviewed	2441
1KBH	Q9Y6Q9	reviewed	1424
2KSO	O15357	reviewed	1258
2KSO	P29317	reviewed	976
1YQV	P00698	reviewed	147
3QIB	P04224	reviewed	255
3QIB	P04230	reviewed	264
3QIB	P00039	reviewed	108
3QIB	P01848	reviewed	140
